trial_id,density,nback,window,window_duration_s,window_reaches_handback,brake_channel_peaks__prominence15,brake_channel_peaks__prominence30,brake_channel_peaks__prominence5,steering_channel_hysteresis_reversals__gap1deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap1deg_raw,steering_channel_hysteresis_reversals__gap2deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap2deg_raw,steering_channel_hysteresis_reversals__gap3deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap3deg_raw,steering_channel_hysteresis_reversals__gap5deg_lowpass2Hz,steering_channel_hysteresis_reversals__gap5deg_raw
density_0_nback_0_id_1,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,7,7,3,3,0,1,0,0
density_0_nback_0_id_1,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.950000047683716,True,3,1,3,16,16,12,12,5,6,5,5
density_0_nback_0_id_1,0,0,POST_BUTTON_MANUAL,13.549999952316284,False,1,1,2,9,9,5,5,2,3,1,1
density_0_nback_0_id_1,0,0,POST_TOR_MANUAL,14.799999952316284,False,2,1,2,9,9,5,5,2,3,1,1
density_0_nback_0_id_10,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,3,3,2,2,2,2,1,1
density_0_nback_0_id_10,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.299999952316284,True,2,2,4,11,11,8,8,8,8,4,4
density_0_nback_0_id_10,0,0,POST_BUTTON_MANUAL,11.25,False,1,1,1,6,6,3,3,2,2,1,1
density_0_nback_0_id_10,0,0,POST_TOR_MANUAL,12.200000047683716,False,1,1,1,6,6,3,3,2,2,1,1
density_0_nback_0_id_11,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,2,1,2,4,4,3,3,3,3,2,2
density_0_nback_0_id_11,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,44.5,True,2,1,2,15,15,12,12,12,12,10,10
density_0_nback_0_id_11,0,0,POST_BUTTON_MANUAL,12.849999904632568,False,1,1,1,9,9,7,7,7,7,5,5
density_0_nback_0_id_11,0,0,POST_TOR_MANUAL,14.349999904632568,False,2,1,2,9,9,7,7,7,7,5,5
density_0_nback_0_id_12,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,0,1,9,9,8,9,5,6,3,3
density_0_nback_0_id_12,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,42.450000047683716,True,2,1,3,18,18,16,16,12,14,8,8
density_0_nback_0_id_12,0,0,POST_BUTTON_MANUAL,11.75,False,1,0,1,12,12,11,11,7,9,5,5
density_0_nback_0_id_12,0,0,POST_TOR_MANUAL,12.349999904632568,False,1,0,1,12,12,11,11,7,9,5,5
density_0_nback_0_id_13,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,4,4,1,1,1,1,1,1
density_0_nback_0_id_13,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,45.75,True,1,1,2,13,13,8,8,8,8,8,8
density_0_nback_0_id_13,0,0,POST_BUTTON_MANUAL,14.149999856948853,False,0,0,0,7,7,4,4,4,4,4,4
density_0_nback_0_id_13,0,0,POST_TOR_MANUAL,15.599999904632568,False,1,1,1,7,7,4,4,4,4,4,4
density_0_nback_0_id_15,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,3,1,3,2,2,2,2,1,1,1,1
density_0_nback_0_id_15,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,46.299999952316284,True,4,2,4,11,11,11,11,10,10,10,10
density_0_nback_0_id_15,0,0,POST_BUTTON_MANUAL,14.700000047683716,False,2,1,2,5,5,5,5,4,4,4,4
density_0_nback_0_id_15,0,0,POST_TOR_MANUAL,16.200000047683716,False,3,1,3,5,5,5,5,4,4,4,4
density_0_nback_0_id_16,0,0,HISTORICAL_ACUTE_8S_POST_TOR,7.950000047683716,False,1,1,1,4,4,3,3,3,3,2,2
density_0_nback_0_id_16,0,0,HISTORICAL_FULL_RECORD_POST_TOR_INVALID,49.59999990463257,True,1,1,1,19,21,18,18,16,16,12,12
