trial_id,participant_id,density,nback,RAW,TOR_PRESENT,TOR_ANCHORED,OWNER_WINDOW_ELIGIBLE,LANE_CHANGE_ANCHORED,MANUAL_WINDOW_ELIGIBLE,OWNER_ANALYSIS_SET,tor_state,lane_change_state,handback_state,t_tor,t_manual_start,t_lane_change,t_handback,excluded_from_TOR_PRESENT,excluded_from_TOR_ANCHORED,excluded_from_OWNER_WINDOW_ELIGIBLE,excluded_from_LANE_CHANGE_ANCHORED,excluded_from_MANUAL_WINDOW_ELIGIBLE
density_0_nback_0_id_10,10,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4496212006,30.350107193,34.749420166,41.6502990723,,,,,
density_0_nback_0_id_11,11,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4492549896,30.949426651,34.6493492126,43.8493270874,,,,,
density_0_nback_0_id_12,12,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4500656128,30.0508518219,33.8002815247,41.8500213623,,,,,
density_0_nback_0_id_13,13,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4501628876,30.900182724,34.9001693726,45.1006660461,,,,,
density_0_nback_0_id_14,14,0,0,True,False,False,False,False,False,UNKNOWN,MISSING_TOR_COLUMN,VALIDATED,SINGLE,,29.2491111755,31.399187088,36.2992210388,MISSING_TOR_COLUMN,MISSING_TOR_COLUMN,no TOR anchor (MISSING_TOR_COLUMN),no TOR anchor (MISSING_TOR_COLUMN),no TOR anchor (MISSING_TOR_COLUMN)
density_0_nback_0_id_15,15,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4498729706,30.9498062134,36.649772644,45.6501655579,,,,,
density_0_nback_0_id_16,16,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4497737885,30.649274826,35.3991279602,48.9492797852,,,,,
density_0_nback_0_id_17,17,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.450553894,30.6995410919,33.2495613098,41.8502578735,,,,,
density_0_nback_0_id_18,18,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4499092102,30.4500293732,34.0000190735,45.1002540588,,,,,
density_0_nback_0_id_19,19,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4502487183,30.4502735138,33.8002853394,47.0003662109,,,,,
density_0_nback_0_id_1,1,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4505939484,30.7497577667,34.4999809265,44.30078125,,,,,
density_0_nback_0_id_20,20,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.4504070282,31.3003387451,34.9002723694,43.3002891541,,,,,
density_0_nback_0_id_21,21,0,0,True,True,True,True,True,True,UNKNOWN,SINGLE,VALIDATED,SINGLE,29.450220108,30.9003314972,34.000087738,46.1498985291,,,,,
