trial_id,density,nback,accelerator_channel_pre_tor_mean,accelerator_channel_min_0_to_0p3s,accelerator_channel_drops_to_zero_within_0p3s,brake_channel_max_0_to_0p3s,brake_channel_active_within_0p3s,steering_channel_pre_tor_range_rad,steering_channel_moving_before_tor,brake_channel_onset_after_tor_s,steering_channel_onset_after_tor_s,earliest_channel_activity_after_tor_s,earliest_channel_activity_within_0p3s,earliest_channel_activity_minus_manual_start_s,authorship,steering_channel_max_abs_in_owner_window_rad,steering_channel_max_abs_dev_in_owner_window_rad
density_0_nback_0_id_10,0,0,0.11316886446198686,0.113120689988,False,0.0,False,8.802115920000797e-05,False,1.2003788947674323,3.0003788470837165,1.2003788947674323,False,0.29989290236743216,UNRESOLVED (B17),0.170420840383,0.09572520548226449
density_0_nback_0_id_11,0,0,0.1131703333046579,0.113133274019,False,0.0,False,7.176399229999464e-05,False,1.2007451057674317,3.6507449150325684,1.2007451057674317,False,-0.2994265556325679,UNRESOLVED (B17),0.343957692385,0.26926562582219343
density_0_nback_0_id_12,0,0,0.11316768599575004,0.113154664636,False,0.0,False,8.419901129999574e-05,False,1.2999343872000004,2.9999344348837162,1.2999343872000004,False,0.6991481780999997,UNRESOLVED (B17),0.25335419178,0.1786603394306724
density_0_nback_0_id_13,0,0,0.11316808313131581,0.11309619993,False,0.0,False,6.064772599999324e-05,False,1.1998372077674304,3.7998371123999988,1.1998372077674304,False,-0.2501826286325688,UNRESOLVED (B17),0.185761108994,0.11106466364655265
density_0_nback_0_id_15,0,0,0.11316886446196052,0.113134488463,False,0.0,False,7.621943949999432e-05,False,1.2001271247674303,4.600126981716283,1.2001271247674303,False,-0.29980611803256707,UNRESOLVED (B17),0.179768815637,0.12358788440099738
density_0_nback_0_id_16,0,0,0.11317038967427631,0.113149657845,False,0.0,False,9.308010340000616e-05,False,1.2002263068674317,4.5502262115,1.2002263068674317,False,0.0007252693674324462,UNRESOLVED (B17),0.242568060756,0.16787850092143553
density_0_nback_0_id_17,0,0,0.11316869407889477,0.11315061152,False,0.0,False,9.062141179999594e-05,False,1.199446201367433,2.0494461060000013,1.199446201367433,False,-0.04954099653256705,UNRESOLVED (B17),0.274926453829,0.22354083949420922
density_0_nback_0_id_18,0,0,0.11317113228140789,0.113150112331,False,0.0,False,8.904188870000052e-05,False,1.2000908851674303,2.650090694432567,1.2000908851674303,False,0.19997072216743206,UNRESOLVED (B17),0.188877105713,0.13125834555220395
density_0_nback_0_id_19,0,0,0.11316684947202629,0.113110557199,False,0.0,False,8.919835090000217e-05,False,1.1997513770674324,2.399751186332569,1.1997513770674324,False,0.1997265815674325,UNRESOLVED (B17),0.173536837101,0.09884273221620264
density_0_nback_0_id_1,0,0,0.1131707087748158,0.113134846091,False,0.0,False,7.94753432000056e-05,False,1.19940614696743,3.249406099283714,1.19940614696743,False,-0.09975767133256852,UNRESOLVED (B17),0.127516016364,0.09913979206037762
density_0_nback_0_id_20,0,0,0.11316918219003948,0.113134339452,False,0.0,False,9.369850149999748e-05,False,1.1995930671674309,2.999593019483715,1.1995930671674309,False,-0.6503386497325678,UNRESOLVED (B17),0.155080571771,0.08039436832495789
density_0_nback_0_id_21,0,0,0.1131695238383816,0.113163881004,False,0.0,False,6.325542930001038e-05,False,1.1997799873674317,2.4497799873674317,1.1997799873674317,False,-0.2503314018325682,UNRESOLVED (B17),0.187438964844,0.14827387005485132
density_0_nback_0_id_22,0,0,0.11316646115951313,0.113121815026,False,0.0,False,6.301701070000887e-05,False,,2.9498124122674305,2.9498124122674305,False,2.449978351567431,UNRESOLVED (B17),0.165866702795,0.09117143081596052
density_0_nback_0_id_23,0,0,0.11316901553228947,0.113132454455,False,0.0,False,8.554011580000354e-05,False,1.1997799873674317,4.249779939683716,1.1997799873674317,False,-1.1003375053325684,UNRESOLVED (B17),0.191993102431,0.11729812014230527
density_0_nback_0_id_24,0,0,0.11316909876309211,0.113129526377,False,0.0,False,6.362795830000545e-05,False,1.2001233100674327,2.1501231193325694,1.2001233100674327,False,0.10014390946743035,UNRESOLVED (B17),0.325501412153,0.25080608145162103
