trial_id,density,nback,OWNER_WINDOW_ELIGIBLE,LANE_CHANGE_ANCHORED,t_button_s,t_handback,vehicle_speed_at_tor_mps,hazard_station_crossing_after_tor_s,hazard_station_crossing_after_handback,owner_window_excluded_reason,manual_window_excluded_reason,owner_window_start,owner_window_end,owner_tor_to_lane_change_s,owner_min_ttc_approach_domain_s,owner_n_ttc_samples_outside_domain,owner_vehicle_stopped_in_window,owner_vehicle_max_longitudinal_accel_mps2,owner_vehicle_max_longitudinal_decel_mps2,manual_window_start,manual_window_end,manual_tor_to_lane_change_s,manual_min_ttc_approach_domain_s,manual_n_ttc_samples_outside_domain,manual_vehicle_stopped_in_window,manual_vehicle_max_longitudinal_accel_mps2,manual_vehicle_max_longitudinal_decel_mps2
density_0_nback_0_id_10,0,0,True,True,0.9004859924000002,41.6502990723,27.7777423859,7.450378894767432,False,,,29.4496212006,34.749420166,5.299798965400001,2.1182949543,0.0,False,0.204137384892,1.58674693108,29.4496212006,34.749420166,5.299798965400001,2.1182949543,0.0,False,0.204137384892,1.58674693108
density_0_nback_0_id_11,0,0,True,True,1.5001716613999996,43.8493270874,27.7777576447,8.250745058083716,False,,,29.4492549896,34.6493492126,5.200094223000001,3.08807110786,0.0,False,0.11984679848,3.01875329018,29.4492549896,34.6493492126,5.200094223000001,3.08807110786,0.0,False,0.11984679848,3.01875329018
density_0_nback_0_id_12,0,0,True,True,0.6007862091000007,41.8500213623,27.7777576447,7.199934482567432,False,,,29.4500656128,33.8002815247,4.350215911899998,2.80736804008,0.0,False,0.223355665803,0.888283073902,29.4500656128,33.8002815247,4.350215911899998,2.80736804008,0.0,False,0.223355665803,0.888283073902
density_0_nback_0_id_13,0,0,True,True,1.4500198363999992,45.1006660461,27.7777824402,7.599837064716283,False,,,29.4501628876,34.9001693726,5.450006484999996,2.08988690376,0.0,False,0.0968660563231,2.18849253654,29.4501628876,34.9001693726,5.450006484999996,2.08988690376,0.0,False,0.0968660563231,2.18849253654
density_0_nback_0_id_14,0,0,False,False,,36.2992210388,,,,no TOR anchor (MISSING_TOR_COLUMN),no TOR anchor (MISSING_TOR_COLUMN),,,,,,,,,,,,,,,,
density_0_nback_0_id_15,0,0,True,True,1.4999332427999974,45.6501655579,27.7777729034,10.400126934032567,False,,,29.4498729706,36.649772644,7.199899673400001,3.83249497414,0.0,False,2.43854808807,7.85020065308,29.4498729706,36.649772644,7.199899673400001,3.83249497414,0.0,False,2.43854808807,7.85020065308
density_0_nback_0_id_16,0,0,True,True,1.1995010374999993,48.9492797852,27.7777557373,7.600226163816284,False,,,29.4497737885,35.3991279602,5.949354171699998,1.62408804893,0.0,False,0.0777526795864,1.9903857708,29.4497737885,35.3991279602,5.949354171699998,1.62408804893,0.0,False,0.0777526795864,1.9903857708
density_0_nback_0_id_17,0,0,True,True,1.2489871979,41.8502578735,27.7777614594,7.249446153683717,False,,,29.450553894,33.2495613098,3.799007415800002,3.50588393211,0.0,False,1.89063489437,2.61270904541,29.450553894,33.2495613098,3.799007415800002,3.50588393211,0.0,False,1.89063489437,2.61270904541
density_0_nback_0_id_18,0,0,True,True,1.0001201629999983,45.1002540588,27.7778053284,8.300090789799999,False,,,29.4499092102,34.0000190735,4.550109863299998,3.44821691513,0.0,False,0.24215619266,2.05339026451,29.4499092102,34.0000190735,4.550109863299998,3.44821691513,0.0,False,0.24215619266,2.05339026451
density_0_nback_0_id_19,0,0,True,True,1.0000247955,47.0003662109,27.7777557373,7.549751281700001,False,,,29.4502487183,33.8002853394,4.350036621099999,3.07640099525,0.0,False,0.17556527257,1.78127563,29.4502487183,33.8002853394,4.350036621099999,3.07640099525,0.0,False,0.17556527257,1.78127563
