v0,a_coast,t_buildup,interaction_stopping_distance_m,expected_interaction_d_m,error_d_m,interaction_critical_tor_s,expected_interaction_tc_s,error_tc_s
20.0,1.0,0.2,-0.10000000000000142,-0.1,1.4155343563970746e-15,-0.005028247833251953,-0.005,2.824783325195302e-05
20.0,1.0,0.5,-0.25,-0.25,0.0,-0.012531280517578125,-0.0125,3.1280517578124306e-05
20.0,1.0,0.7,-0.3500000000000014,-0.35,1.4432899320127035e-15,-0.017523765563964844,-0.017499999999999998,2.3765563964845554e-05
20.0,2.0,0.2,-0.20000000000000284,-0.2,2.831068712794149e-15,-0.01004934310913086,-0.01,4.934310913085917e-05
20.0,2.0,0.5,-0.5000000000000071,-0.5,7.105427357601002e-15,-0.025055408477783203,-0.025,5.540847778320174e-05
20.0,2.0,0.7,-0.7000000000000028,-0.7,2.886579864025407e-15,-0.03504753112792969,-0.034999999999999996,4.753112792969111e-05
20.0,3.0,0.2,-0.30000000000000426,-0.30000000000000004,4.218847493575595e-15,-0.015070438385009766,-0.015000000000000003,7.043838500976271e-05
20.0,3.0,0.5,-0.7500000000000071,-0.75,7.105427357601002e-15,-0.03757953643798828,-0.0375,7.953643798828264e-05
20.0,3.0,0.7,-1.0500000000000043,-1.0499999999999998,4.440892098500626e-15,-0.05257129669189453,-0.05249999999999999,7.129669189454013e-05
20.0,4.0,0.2,-0.3999999999999986,-0.4,1.4432899320127035e-15,-0.02009868621826172,-0.02,9.868621826171833e-05
20.0,4.0,0.5,-1.000000000000007,-1.0,7.105427357601002e-15,-0.05010366439819336,-0.05,0.0001036643981933566
20.0,4.0,0.7,-1.3999999999999986,-1.4,1.3322676295501878e-15,-0.07009506225585938,-0.06999999999999999,9.506225585938222e-05
30.0,1.0,0.2,-0.10000000000000853,-0.1,8.520961713998076e-15,-0.0033473968505859375,-0.0033333333333333335,1.4063517252603953e-05
30.0,1.0,0.5,-0.25,-0.25,0.0,-0.00835418701171875,-0.008333333333333333,2.0853678385416782e-05
30.0,1.0,0.7,-0.3500000000000085,-0.35,8.548717289613705e-15,-0.011687278747558594,-0.011666666666666665,2.0612080891928286e-05
30.0,2.0,0.2,-0.19999999999998863,-0.2,1.1379786002407855e-14,-0.006701946258544922,-0.006666666666666667,3.527959187825478e-05
30.0,2.0,0.5,-0.4999999999999858,-0.5,1.4210854715202004e-14,-0.016701221466064453,-0.016666666666666666,3.455479939778669e-05
30.0,2.0,0.7,-0.6999999999999886,-0.7,1.1324274851176597e-14,-0.02336740493774414,-0.02333333333333333,3.40716044108097e-05
30.0,3.0,0.2,-0.30000000000001137,-0.30000000000000004,1.1324274851176597e-14,-0.01004934310913086,-0.010000000000000002,4.934310913085743e-05
30.0,3.0,0.5,-0.7500000000000142,-0.75,1.4210854715202004e-14,-0.025048255920410156,-0.025,4.825592041015486e-05
30.0,3.0,0.7,-1.0500000000000114,-1.0499999999999998,1.1546319456101628e-14,-0.03504753112792969,-0.034999999999999996,4.753112792969111e-05
30.0,4.0,0.2,-0.4000000000000057,-0.4,5.662137425588298e-15,-0.013403892517089844,-0.013333333333333334,7.055918375650956e-05
30.0,4.0,0.5,-1.0,-1.0,0.0,-0.033402442932128906,-0.03333333333333333,6.910959879557338e-05
30.0,4.0,0.7,-1.4000000000000057,-1.4,5.773159728050814e-15,-0.04673480987548828,-0.04666666666666666,6.81432088216194e-05
