v0,t_buildup,a_coast,t_crit_w0_sim,t_crit_w0_ana,t_crit_w1_sim,t_crit_w1_ana,delta_t_crit_sim,delta_t_crit_ana,delta_d_stop_ana
20.0,0.7,0.0,2.6182942390441895,2.617793504901961,2.6182942390441895,2.617793504901961,0.0,0.0,0.0
20.0,0.7,1.0,2.6182942390441895,2.617793504901961,2.4560670852661133,2.4555876225490194,-0.16222715377807617,-0.16220588235294153,-3.244117647058829
20.0,0.7,2.0,2.6182942390441895,2.617793504901961,2.2997193336486816,2.2992640931372548,-0.3185749053955078,-0.31852941176470617,-6.370588235294122
20.0,0.7,3.0,2.6182942390441895,2.617793504901961,2.1492509841918945,2.1488229166666666,-0.4690432548522949,-0.46897058823529436,-9.379411764705885
20.0,0.7,4.0,2.6182942390441895,2.617793504901961,2.004669189453125,2.004264093137255,-0.6136250495910645,-0.6135294117647061,-12.27058823529412
30.0,0.0,0.0,2.8647069931030273,2.864705882352941,2.8647069931030273,2.864705882352941,0.0,0.0,0.0
30.0,0.0,1.0,2.8647069931030273,2.864705882352941,2.729022979736328,2.7290196078431372,-0.13568401336669922,-0.13568627450980397,-4.07058823529411
30.0,0.0,2.0,2.8647069931030273,2.864705882352941,2.5972585678100586,2.597254901960784,-0.26744842529296875,-0.2674509803921574,-8.023529411764713
30.0,0.0,3.0,2.8647069931030273,2.864705882352941,2.4694137573242188,2.4694117647058826,-0.3952932357788086,-0.3952941176470586,-11.858823529411751
30.0,0.0,4.0,2.8647069931030273,2.864705882352941,2.3454957008361816,2.3454901960784316,-0.5192112922668457,-0.5192156862745096,-15.576470588235281
30.0,0.1,0.0,2.9150896072387695,2.9145878267973857,2.9150896072387695,2.9145878267973857,0.0,0.0,0.0
30.0,0.1,1.0,2.9150896072387695,2.9145878267973857,2.7777247428894043,2.7772348856209153,-0.13736486434936523,-0.13735294117647046,-4.1205882352941074
30.0,0.1,2.0,2.9150896072387695,2.9145878267973857,2.6442723274230957,2.6438035130718958,-0.27081727981567383,-0.27078431372548994,-8.123529411764693
30.0,0.1,3.0,2.9150896072387695,2.9145878267973857,2.51474666595459,2.5142937091503272,-0.4003429412841797,-0.40029411764705847,-12.008823529411757
30.0,0.1,4.0,2.9150896072387695,2.9145878267973857,2.3891406059265137,2.3887054738562097,-0.5259490013122559,-0.525882352941176,-15.776470588235284
30.0,0.2,0.0,2.964735507965088,2.9642336601307187,2.964735507965088,2.9642336601307187,0.0,0.0,0.0
30.0,0.2,1.0,2.964735507965088,2.9642336601307187,2.8257040977478027,2.8252140522875817,-0.13903141021728516,-0.13901960784313694,-4.170588235294119
30.0,0.2,2.0,2.964735507965088,2.9642336601307187,2.690585136413574,2.6901160130718953,-0.27415037155151367,-0.27411764705882335,-8.223529411764702
30.0,0.2,3.0,2.964735507965088,2.9642336601307187,2.5593929290771484,2.55893954248366,-0.40534257888793945,-0.4052941176470588,-12.158823529411762
30.0,0.2,4.0,2.964735507965088,2.9642336601307187,2.4321203231811523,2.431684640522876,-0.5326151847839355,-0.5325490196078428,-15.976470588235287
30.0,0.3,0.0,3.0141453742980957,3.013643382352941,3.0141453742980957,3.013643382352941,0.0,0.0,0.0
30.0,0.3,1.0,3.0141453742980957,3.013643382352941,2.8734474182128906,2.872957107843137,-0.14069795608520508,-0.14068627450980387,-4.220588235294116
30.0,0.3,2.0,3.0141453742980957,3.013643382352941,2.736661911010742,2.736192401960784,-0.2774834632873535,-0.27745098039215677,-8.32352941176471
30.0,0.3,3.0,3.0141453742980957,3.013643382352941,2.6038031578063965,2.6033492647058827,-0.4103422164916992,-0.41029411764705825,-12.308823529411754
30.0,0.3,4.0,3.0141453742980957,3.013643382352941,2.4748640060424805,2.4744276960784313,-0.5392813682556152,-0.5392156862745097,-16.17647058823529
30.0,0.4,0.0,3.063319206237793,3.062816993464052,3.063319206237793,3.062816993464052,0.0,0.0,0.0
30.0,0.4,1.0,3.063319206237793,3.062816993464052,2.920947551727295,2.920464052287582,-0.14237165451049805,-0.1423529411764699,-4.270588235294099
30.0,0.4,2.0,3.063319206237793,3.062816993464052,2.7825026512145996,2.7820326797385624,-0.28081655502319336,-0.28078431372548973,-8.42352941176469
30.0,0.4,3.0,3.063319206237793,3.062816993464052,2.647977352142334,2.647522875816994,-0.415341854095459,-0.41529411764705815,-12.458823529411745
30.0,0.4,4.0,3.063319206237793,3.062816993464052,2.517371654510498,2.5169346405228756,-0.5459475517272949,-0.5458823529411765,-16.376470588235293
30.0,0.5,0.0,3.1122570037841797,3.111754493464052,3.1122570037841797,3.1117544934640526,0.0,4.440892098500626e-16,1.4210854715202004e-14
30.0,0.5,1.0,3.1122570037841797,3.111754493464052,2.9682188034057617,2.967734885620915,-0.14403820037841797,-0.14401960784313728,-4.32058823529411
30.0,0.5,2.0,3.1122570037841797,3.111754493464052,2.8281073570251465,2.8276368464052286,-0.2841496467590332,-0.2841176470588236,-8.523529411764699
30.0,0.5,3.0,3.1122570037841797,3.111754493464052,2.691915512084961,2.6914603758169933,-0.42034149169921875,-0.42029411764705893,-12.608823529411765
30.0,0.5,4.0,3.1122570037841797,3.111754493464052,2.559643268585205,2.5592054738562093,-0.5526137351989746,-0.5525490196078429,-16.57647058823528
30.0,0.6,0.0,3.160958766937256,3.160455882352941,3.160958766937256,3.160455882352941,0.0,0.0,0.0
30.0,0.6,1.0,3.160958766937256,3.160455882352941,3.015254020690918,3.014769607843137,-0.1457047462463379,-0.1456862745098042,-4.370588235294122
30.0,0.6,2.0,3.160958766937256,3.160455882352941,2.873476028442383,2.873004901960784,-0.28748273849487305,-0.287450980392157,-8.623529411764707
30.0,0.6,3.0,3.160958766937256,3.160455882352941,2.7356176376342773,2.735161764705883,-0.4253411293029785,-0.4252941176470584,-12.758823529411757
30.0,0.6,4.0,3.160958766937256,3.160455882352941,2.6016788482666016,2.601240196078431,-0.5592799186706543,-0.5592156862745101,-16.7764705882353
30.0,0.7,0.0,3.2094244956970215,3.208921160130719,3.2094244956970215,3.208921160130719,0.0,0.0,0.0
30.0,0.7,1.0,3.2094244956970215,3.208921160130719,3.0620532035827637,3.0615682189542484,-0.1473712921142578,-0.1473529411764707,-4.420588235294119
30.0,0.7,2.0,3.2094244956970215,3.208921160130719,2.9186086654663086,2.9181368464052286,-0.2908158302307129,-0.2907843137254904,-8.723529411764702
30.0,0.7,3.0,3.2094244956970215,3.208921160130719,2.779083728790283,2.7786270424836603,-0.4303407669067383,-0.4302941176470587,-12.908823529411762
30.0,0.7,4.0,3.2094244956970215,3.208921160130719,2.6434783935546875,2.6430388071895425,-0.565946102142334,-0.5658823529411765,-16.976470588235287
