v0,t_buildup,a_coast,t_crit_w0_sim,t_crit_w0_ana,t_crit_w1_sim,t_crit_w1_ana,delta_t_crit_sim,delta_t_crit_ana,delta_d_stop_ana
20.0,0.0,0.0,2.2764735221862793,2.276470588235294,2.2764735221862793,2.276470588235294,0.0,0.0,0.0
20.0,0.0,1.0,2.2764735221862793,2.276470588235294,2.131770133972168,2.131764705882353,-0.14470338821411133,-0.14470588235294102,-2.8941176470588275
20.0,0.0,2.0,2.2764735221862793,2.276470588235294,1.9929461479187012,1.9929411764705882,-0.2835273742675781,-0.2835294117647058,-5.670588235294119
20.0,0.0,3.0,2.2764735221862793,2.276470588235294,1.860001564025879,1.86,-0.4164719581604004,-0.4164705882352939,-8.329411764705881
20.0,0.0,4.0,2.2764735221862793,2.276470588235294,1.7329435348510742,1.7329411764705882,-0.5435299873352051,-0.5435294117647058,-10.870588235294122
20.0,0.1,0.0,2.326798915863037,2.326293504901961,2.326798915863037,2.326293504901961,0.0,0.0,0.0
20.0,0.1,1.0,2.326798915863037,2.326293504901961,2.179563522338867,2.1790876225490194,-0.14723539352416992,-0.1472058823529414,-2.9441176470588317
20.0,0.1,2.0,2.326798915863037,2.326293504901961,2.038214683532715,2.0377640931372545,-0.28858423233032227,-0.28852941176470637,-5.770588235294127
20.0,0.1,3.0,2.326798915863037,2.326293504901961,1.90275239944458,1.9023229166666666,-0.42404651641845703,-0.4239705882352942,-8.479411764705887
20.0,0.1,4.0,2.326798915863037,2.326293504901961,1.7731695175170898,1.7727640931372548,-0.5536293983459473,-0.553529411764706,-11.070588235294125
20.0,0.2,0.0,2.3762660026550293,2.375762254901961,2.3762660026550293,2.375762254901961,0.0,0.0,0.0
20.0,0.2,1.0,2.3762660026550293,2.375762254901961,2.226534366607666,2.2260563725490194,-0.14973163604736328,-0.14970588235294136,-2.994117647058829
20.0,0.2,2.0,2.3762660026550293,2.375762254901961,2.0826892852783203,2.0822328431372545,-0.293576717376709,-0.29352941176470626,-5.870588235294122
20.0,0.2,3.0,2.3762660026550293,2.375762254901961,1.9447236061096191,1.9442916666666665,-0.43154239654541016,-0.4314705882352943,-8.629411764705885
20.0,0.2,4.0,2.3762660026550293,2.375762254901961,1.8126373291015625,1.8122328431372547,-0.5636286735534668,-0.5635294117647061,-11.27058823529412
20.0,0.3,0.0,2.425382614135742,2.4248768382352943,2.425382614135742,2.4248768382352943,0.0,0.0,0.0
20.0,0.3,1.0,2.425382614135742,2.4248768382352943,2.2731475830078125,2.272670955882353,-0.1522350311279297,-0.1522058823529413,-3.044117647058826
20.0,0.3,2.0,2.425382614135742,2.4248768382352943,2.1267991065979004,2.1263474264705886,-0.2985835075378418,-0.2985294117647057,-5.970588235294116
20.0,0.3,3.0,2.425382614135742,2.4248768382352943,1.9863371849060059,1.98590625,-0.43904542922973633,-0.43897058823529433,-8.779411764705884
20.0,0.3,4.0,2.425382614135742,2.4248768382352943,1.8517475128173828,1.8513474264705885,-0.5736351013183594,-0.5735294117647058,-11.470588235294116
20.0,0.4,0.0,2.4741415977478027,2.473637254901961,2.4741415977478027,2.4736372549019605,0.0,-4.440892098500626e-16,-7.105427357601002e-15
20.0,0.4,1.0,2.4741415977478027,2.473637254901961,2.3194103240966797,2.3189313725490193,-0.15473127365112305,-0.1547058823529417,-3.0941176470588303
20.0,0.4,2.0,2.4741415977478027,2.473637254901961,2.170558452606201,2.170107843137255,-0.30358314514160156,-0.30352941176470605,-6.070588235294117
20.0,0.4,3.0,2.4741415977478027,2.473637254901961,2.0275931358337402,2.027166666666667,-0.4465484619140625,-0.44647058823529395,-8.929411764705883
20.0,0.4,4.0,2.4741415977478027,2.473637254901961,1.8905143737792969,1.8901078431372547,-0.5836272239685059,-0.5835294117647063,-11.670588235294126
20.0,0.5,0.0,2.522550106048584,2.522043504901961,2.522550106048584,2.5220435049019607,0.0,-4.440892098500626e-16,-7.105427357601002e-15
20.0,0.5,1.0,2.522550106048584,2.522043504901961,2.3653154373168945,2.3648376225490195,-0.15723466873168945,-0.15720588235294164,-3.1441176470588275
20.0,0.5,2.0,2.522550106048584,2.522043504901961,2.2139673233032227,2.213514093137255,-0.30858278274536133,-0.3085294117647064,-6.170588235294126
20.0,0.5,3.0,2.522550106048584,2.522043504901961,2.0684986114501953,2.0680729166666665,-0.45405149459838867,-0.4539705882352947,-9.079411764705888
20.0,0.5,4.0,2.522550106048584,2.522043504901961,1.9289164543151855,1.9285140931372546,-0.5936336517333984,-0.5935294117647065,-11.870588235294129
20.0,0.6,0.0,2.570600986480713,2.5700955882352945,2.570600986480713,2.5700955882352945,0.0,0.0,0.0
20.0,0.6,1.0,2.570600986480713,2.5700955882352945,2.41087007522583,2.410389705882353,-0.1597309112548828,-0.15970588235294159,-3.1941176470588317
20.0,0.6,2.0,2.570600986480713,2.5700955882352945,2.257018566131592,2.2565661764705878,-0.3135824203491211,-0.3135294117647067,-6.270588235294127
20.0,0.6,3.0,2.570600986480713,2.5700955882352945,2.109053611755371,2.108625,-0.4615473747253418,-0.4614705882352945,-9.229411764705887
20.0,0.6,4.0,2.570600986480713,2.5700955882352945,1.966968059539795,1.9665661764705882,-0.603632926940918,-0.6035294117647063,-12.070588235294125
