condition_id,policy,profile,a_coast_ms2,t_buildup_s,x_hazard_m,x_stop_full_m,stopping_margin_m,collision,impact_speed_ms,impact_speed_kmh,ttc_min_s,t_stop_s,t_collision_s
W0_R0,W0,R0_friction_ref,0.0,0.0,50.0,45.52941176469848,4.47058823530152,False,,,1.025623330084732,3.452941176470287,
W0_R2,W0,R2_delayed_buildup,0.0,0.5,50.0,50.450870452198814,-0.4508704521988136,True,2.768537102406042,9.966733568661752,0.0,3.703441176470332,3.3777309291284814
W1_R0,W1,R0_regen_coast,2.0,0.0,50.0,39.85882352941007,10.141176470589933,False,,,1.5447197722683454,3.217647058823426,
W1_R2,W1,R2_regen_coast,2.0,0.5,50.0,44.279282216910396,5.720717783089604,False,,,1.160194485992901,3.4681470588234684,
