event,cell,n_trials,fraction_with_event,median_latency_s,iqr_latency_s,stereotyped
brake_onset_tor_ms_rel_tor_s,d0_n0,56,0.536,1.2,0.0,False
brake_onset_tor_ms_rel_tor_s,d0_n1,57,0.0,,,False
brake_onset_tor_ms_rel_tor_s,d0_n2,54,0.148,2.05,0.013,False
brake_onset_tor_ms_rel_tor_s,d10_n0,53,0.962,0.4,0.475,False
brake_onset_tor_ms_rel_tor_s,d10_n1,57,0.947,1.3,0.15,False
brake_onset_tor_ms_rel_tor_s,d10_n2,57,0.825,1.2,0.05,False
brake_onset_tor_ms_rel_tor_s,d20_n0,50,0.1,1.9,0.001,False
brake_onset_tor_ms_rel_tor_s,d20_n1,51,0.941,0.625,0.5,False
brake_onset_tor_ms_rel_tor_s,d20_n2,57,0.895,0.75,0.85,False
accel_release_rel_tor_s,d0_n0,56,1.0,1.099,0.05,True
accel_release_rel_tor_s,d0_n1,57,1.0,0.001,0.049,True
accel_release_rel_tor_s,d0_n2,54,1.0,0.05,0.049,True
accel_release_rel_tor_s,d10_n0,53,1.0,0.001,0.049,True
accel_release_rel_tor_s,d10_n1,57,1.0,1.15,0.101,False
accel_release_rel_tor_s,d10_n2,57,1.0,0.049,0.05,True
accel_release_rel_tor_s,d20_n0,50,1.0,1.15,0.637,False
accel_release_rel_tor_s,d20_n1,51,1.0,0.05,0.051,True
accel_release_rel_tor_s,d20_n2,57,1.0,0.051,0.25,False
brake_onset_after_ms_rel_ms_s,d0_n0,56,0.982,0.05,0.2,False
brake_onset_after_ms_rel_ms_s,d0_n1,57,0.316,1.45,2.263,False
brake_onset_after_ms_rel_ms_s,d0_n2,54,0.611,0.301,0.599,False
brake_onset_after_ms_rel_ms_s,d10_n0,53,1.0,0.049,0.05,True
brake_onset_after_ms_rel_ms_s,d10_n1,57,0.982,0.05,0.049,True
brake_onset_after_ms_rel_ms_s,d10_n2,57,1.0,0.05,0.049,True
brake_onset_after_ms_rel_ms_s,d20_n0,50,0.98,0.75,0.95,False
brake_onset_after_ms_rel_ms_s,d20_n1,51,0.941,0.05,1.163,False
brake_onset_after_ms_rel_ms_s,d20_n2,57,1.0,0.05,0.199,False
brake_straddle_release_rel_ms_s,d0_n0,56,0.571,0.95,0.362,False
brake_straddle_release_rel_ms_s,d0_n1,57,0.0,,,False
brake_straddle_release_rel_ms_s,d0_n2,54,0.13,0.9,0.475,False
brake_straddle_release_rel_ms_s,d10_n0,53,0.962,0.85,0.15,False
brake_straddle_release_rel_ms_s,d10_n1,57,0.912,1.1,1.75,False
brake_straddle_release_rel_ms_s,d10_n2,57,0.877,0.999,0.238,False
brake_straddle_release_rel_ms_s,d20_n0,50,0.1,0.3,0.8,False
brake_straddle_release_rel_ms_s,d20_n1,51,0.569,0.45,0.65,False
brake_straddle_release_rel_ms_s,d20_n2,57,0.667,0.825,0.513,False
brake_clean_onset_rel_ms_s,d0_n0,56,0.482,0.349,0.5,False
brake_clean_onset_rel_ms_s,d0_n1,57,0.316,1.45,2.263,False
brake_clean_onset_rel_ms_s,d0_n2,54,0.463,0.5,0.4,False
brake_clean_onset_rel_ms_s,d10_n0,53,0.528,1.85,2.001,False
brake_clean_onset_rel_ms_s,d10_n1,57,0.421,1.475,0.45,False
brake_clean_onset_rel_ms_s,d10_n2,57,0.737,1.95,1.175,False
brake_clean_onset_rel_ms_s,d20_n0,50,0.96,0.875,0.876,False
brake_clean_onset_rel_ms_s,d20_n1,51,0.686,1.75,2.4,False
brake_clean_onset_rel_ms_s,d20_n2,57,0.912,1.05,1.788,False
accel_straddle_drop_rel_ms_s,d0_n0,56,0.321,0.225,0.287,False
accel_straddle_drop_rel_ms_s,d0_n1,57,0.018,0.15,,False
accel_straddle_drop_rel_ms_s,d0_n2,54,0.259,0.224,0.25,False
accel_straddle_drop_rel_ms_s,d10_n0,53,0.0,,,False
accel_straddle_drop_rel_ms_s,d10_n1,57,0.088,0.15,0.1,False
accel_straddle_drop_rel_ms_s,d10_n2,57,0.0,,,False
accel_straddle_drop_rel_ms_s,d20_n0,50,0.86,0.549,0.8,False
accel_straddle_drop_rel_ms_s,d20_n1,51,0.431,0.35,0.388,False
accel_straddle_drop_rel_ms_s,d20_n2,57,0.298,0.15,0.15,False
accel_onset_after_ms_rel_ms_s,d0_n0,56,0.929,0.7,3.113,False
accel_onset_after_ms_rel_ms_s,d0_n1,57,0.947,1.575,3.125,False
accel_onset_after_ms_rel_ms_s,d0_n2,54,0.963,0.875,3.7,False
accel_onset_after_ms_rel_ms_s,d10_n0,53,0.962,2.449,4.226,False
accel_onset_after_ms_rel_ms_s,d10_n1,57,0.982,3.95,4.012,False
accel_onset_after_ms_rel_ms_s,d10_n2,57,0.965,3.95,3.049,False
accel_onset_after_ms_rel_ms_s,d20_n0,50,1.0,0.05,0.049,True
accel_onset_after_ms_rel_ms_s,d20_n1,51,0.98,0.15,0.813,False
accel_onset_after_ms_rel_ms_s,d20_n2,57,0.982,2.6,6.625,False
steer_onset_after_ms_rel_ms_s,d0_n0,56,1.0,1.875,1.374,False
steer_onset_after_ms_rel_ms_s,d0_n1,57,1.0,1.351,1.299,False
steer_onset_after_ms_rel_ms_s,d0_n2,54,1.0,1.499,1.164,False
steer_onset_after_ms_rel_ms_s,d10_n0,53,1.0,1.65,1.351,False
steer_onset_after_ms_rel_ms_s,d10_n1,57,1.0,2.65,1.95,False
steer_onset_after_ms_rel_ms_s,d10_n2,57,1.0,2.5,2.45,False
steer_onset_after_ms_rel_ms_s,d20_n0,50,1.0,2.8,1.825,False
steer_onset_after_ms_rel_ms_s,d20_n1,51,1.0,2.701,2.55,False
steer_onset_after_ms_rel_ms_s,d20_n2,57,1.0,2.6,3.45,False
indicator_left_onset_rel_ms_s,d0_n0,56,0.75,1.575,1.375,False
indicator_left_onset_rel_ms_s,d0_n1,57,0.754,1.95,1.301,False
indicator_left_onset_rel_ms_s,d0_n2,54,0.685,1.6,1.099,False
indicator_left_onset_rel_ms_s,d10_n0,53,0.83,1.775,1.8,False
indicator_left_onset_rel_ms_s,d10_n1,57,0.737,2.775,1.562,False
indicator_left_onset_rel_ms_s,d10_n2,57,0.737,1.6,1.575,False
indicator_left_onset_rel_ms_s,d20_n0,50,0.74,2.9,1.7,False
indicator_left_onset_rel_ms_s,d20_n1,51,0.765,3.25,3.15,False
indicator_left_onset_rel_ms_s,d20_n2,57,0.807,2.425,2.888,False
