trial_id,participant_id,cell,t_tor,t_ms,t_handback,t_lane_change,t_button_s,state_values,brake_active_pre_tor,brake_onset_tor_ms_rel_tor_s,brake_onset_after_ms_rel_ms_s,brake_active_at_ms,brake_peak_tor_ms,brake_peak_post_ms,brake_max_value_trial,brake_straddle_release_rel_ms_s,brake_straddle_release_rel_tor_s,brake_max_step_near_ms,brake_clean_onset_rel_ms_s,brake_decel_coupling_tor_ms,brake_decel_coupling_post_ms,ax_mean_tor_ms,accel_mean_pre_tor,accel_active_at_ms,accel_straddle_drop_rel_ms_s,accel_release_rel_tor_s,accel_mean_tor_ms,accel_onset_after_ms_rel_ms_s,accel_mean_manual,accel_mean_after_handback,steer_mean_pre_tor,steer_std_pre_tor,steer_mean_tor_ms,steer_std_tor_ms,steer_onset_after_ms_rel_ms_s,steer_onset_to_lane_crossing_s,steer_moved_tor_ms,torque_mean_pre_tor,torque_std_pre_tor,torque_mean_tor_ms,torque_std_tor_ms,torque_std_manual,torque_mean_after_handback,steer_mean_after_handback,indicator_left_onset_rel_ms_s,indicator_left_before_ms,indicator_before_lane_crossing,hazard_station_sd_m,hazard_station_sd_minus_m,d_construction_rate_per_abscissa,d_construction_at_tor_m,d_follow_zero_fraction,d_follow_missing_fraction,d_follow_min_nonzero,d_follow_value_before_zero_median,d_follow_n_negative,d_lead_next_zero_fraction,d_lead_next_missing_fraction,d_lead_next_min_nonzero,d_lead_next_value_before_zero_median,d_lead_next_n_negative,d_follow_next_zero_fraction,d_follow_next_missing_fraction,d_follow_next_min_nonzero,d_follow_next_value_before_zero_median,d_follow_next_n_negative
density_0_nback_0_id_10,10,d0_n0,29.4496212006,30.350107193,41.6502990723,34.749420166,0.9004859924000002,2.0,False,,0.29989290236743216,False,0.0,31.1331043243,74.2533416748,,,3.41022729874,0.29989290236743216,,0.8608567710682148,-0.0011806390615824733,0.11316886446198686,True,0.14989280700000052,1.0503787994000007,0.11186463268185264,0.04989290236743216,0.14042143861679007,0.24503161547864086,0.07469563490073552,1.7382778578640453e-05,0.07462822567474738,0.00014225289621286737,2.049892902367432,2.3494200706325685,False,-0.410625120919,0.001340224186452694,-0.41016957477526317,0.0018076748355297949,0.30706135076367413,0.14247679213781567,-0.0278770926059165,1.5498929023674322,False,True,79.12378209000846,0.22133489419280725,1.0055461253660773,196.888671875,0.9972144846796658,0.002785515320334262,,,0,0.23676880222841226,0.002785515320334262,0.170653998852,39.137145847076,0,0.9045961002785515,0.002785515320334262,0.0256350003183,,0
density_0_nback_0_id_11,11,d0_n0,29.4492549896,30.949426651,43.8493270874,34.6493492126,1.5001716613999996,2.0,False,1.2007451057674317,0.0005733966837162541,True,45.0990371704,66.9942321777,75.1641082764,1.9005732536325688,3.4007449150325684,6.804161071799999,,0.9958282664908756,0.9562111202153383,-0.30582679871699164,0.1131703333046579,False,,1.0507450104,0.07586299839121334,0.6505732536325688,0.21114956279539748,0.0228988163270233,0.07469206656280658,1.7028461774882387e-05,0.07351009349028,0.0018611014831847496,2.150573253632569,1.5493493079674323,False,-0.4108968984924079,0.0012227577603763425,-0.4066378901402667,0.00583586874499292,0.45053692479863566,0.05135645037520166,-0.010550909462221165,1.4005732536325688,False,True,87.90182510782505,0.24694284109483336,1.0053421754598912,195.949829102,0.9885135135135135,0.002702702702702703,50.5035400391,65.21875,0,0.11216216216216217,0.002702702702702703,0.0212399996817,44.80352771469085,0,0.9695945945945946,0.002702702702702703,0.177489995956,,0
density_0_nback_0_id_12,12,d0_n0,29.4500656128,30.0508518219,41.8500213623,33.8002815247,0.6007862091000007,2.0,False,,0.6991481780999997,False,0.0,18.3517913818,73.4826812744,,,0.0,0.6991481780999997,,0.7965393144465615,-0.0007597380608798334,0.11316768599575004,True,0.44914817809999974,1.0499343872000004,0.11316281246633335,0.0491480827325681,0.2063898311888265,0.0,0.07469385234932763,1.6935286281503504e-05,0.07468390216429167,1.18920276964603e-05,2.3991482257837156,1.3502814770162814,False,-0.4110838731652631,0.001115866704724984,-0.4102393711606667,0.001583444804096532,0.7381888929581181,0.011452708707634828,-0.001948485324102683,1.1491482257837156,False,True,73.53624884474903,0.21584345761788393,1.0048126750278932,196.830932617,0.9972222222222222,0.002777777777777778,,,0,0.16875,0.002777777777777778,0.142089992762,40.252502515931,0,0.9069444444444444,0.002777777777777778,0.256835997105,,0
density_0_nback_0_id_13,13,d0_n0,29.4501628876,30.900182724,45.1006660461,34.9001693726,1.4500198363999992,2.0,False,1.1998372077674304,0.04981732368371539,True,45.6496925354,36.6630210876,74.3689117432,0.9498171806325679,2.399837017032567,7.1508255004,,0.9962903106912945,0.9074858851518396,-0.3098436806789394,0.11316808313131581,False,,1.0498371123999988,0.07440393180427586,2.0998172759999996,0.13115126551818154,0.02307624164580433,0.07469644534744735,1.3838736890976866e-05,0.07344399803672069,0.0019056646089177995,2.249817371367431,1.7501692772325654,False,-0.4110737603745921,0.0012072587116652826,-0.40594447275689655,0.006275629746287094,0.37738967080295643,0.08434552388205556,-0.015670462336370834,1.1498172283162837,False,True,87.09716050903752,0.2338537049456707,1.0056300733557535,195.948120117,0.99734395750332,0.0026560424966799467,,,0,0.20783532536520585,0.0026560424966799467,0.123534999788,40.423583906144,0,0.8884462151394422,0.0026560424966799467,0.27539101243,,0
density_0_nback_0_id_15,15,d0_n0,29.4498729706,30.9498062134,45.6501655579,36.649772644,1.4999332427999974,2.0,False,1.2001271247674303,0.0001938342837171092,True,44.7229156494,214.925842285,214.925842285,3.3001937866000013,4.800127029399999,6.354290008500001,,0.9970419392672351,0.9504359195199578,-0.3091135280770765,0.11316886446196052,False,,1.0501270293999987,0.07601538306721999,0.5001938342837171,0.38075203341342306,0.06378714881623226,0.07469076329939738,1.6665242754427078e-05,0.07353681648770999,0.0018405107660074622,3.0501937866000013,2.6497726440000022,False,-0.4106675449170789,0.0013525835607172416,-0.40670849283540006,0.0059979121850339615,0.17271381804594657,-0.10023922853488834,0.028160622056311167,1.8001937866000013,False,True,87.89456150126897,0.24269555738325585,1.0058871442477821,196.130981445,0.9973614775725593,0.002638522427440633,,,0,0.10883905013192612,0.002638522427440633,33.7514648438,127.862182617,0,0.9973614775725593,0.002638522427440633,,,0
density_0_nback_0_id_16,16,d0_n0,29.4497737885,30.649274826,48.9492797852,35.3991279602,1.1995010374999993,2.0,False,,0.0007252693674324462,True,9.32917499542,42.3121032715,74.8068847656,0.900725126316285,2.1002261638162842,11.021595001200001,,0.9615467284783634,0.8176127820130128,-0.018058009717305,0.11317038967427631,False,,1.0502262115,0.094577366408525,7.5007252693674324,0.09149995450632162,0.0894092159966517,0.07468955983456448,1.888322899223373e-05,0.07434703161318751,0.0006275484562120878,3.350725174000001,1.3991279601999977,False,-0.4108315314117236,0.0011516574640166423,-0.40853522469587505,0.004193658655071469,0.5125741758929712,0.50507672345249,-0.10335620469022135,2.900725126316285,False,True,83.12977425870517,0.25676614633791167,1.0052500692206092,195.920288086,0.9974715549936789,0.0025284450063211127,,,0,0.2193426042983565,0.0025284450063211127,0.235596001148,39.564880520124,0,0.877370417193426,0.0025284450063211127,0.151611000299,,0
density_0_nback_0_id_17,17,d0_n0,29.450553894,30.6995410919,41.8502578735,33.2495613098,1.2489871979,2.0,False,1.199446201367433,0.00045895578371712986,True,16.2975311279,43.0267791748,74.7475891113,0.9004588127325697,2.1494460106325697,11.6880664826,,0.9651639615351387,0.5375868697011235,-0.007292323237074125,0.11316869407889477,False,,1.0994460583162855,0.0946672903374875,0.5004589557837171,0.1634298567812119,0.0,0.0746922611602092,2.0764045683011586e-05,0.0743551223228375,0.0006899158536889337,0.8004589081000013,1.7495613098000007,False,-0.4104867542261052,0.0013246649243513614,-0.4085305109621667,0.00563586094256786,0.31261107281979994,0.005810726589193163,2.287112873516674e-05,0.5504589081000013,False,True,83.13616896773367,0.4954714953567932,1.0057682337751848,196.658691406,0.9972241498959056,0.002775850104094379,,,0,0.1845940319222762,0.002775850104094379,0.114013999701,43.1823121756505,0,0.9077029840388618,0.002775850104094379,0.0888670012355,,0
density_0_nback_0_id_18,18,d0_n0,29.4499092102,30.4500293732,45.1002540588,34.0000190735,1.0001201629999983,2.0,False,,0.19997072216743206,False,0.0,41.7004928589,73.6590499878,,,9.138079643289998,0.19997072216743206,,0.9504676188880219,-0.007291734340557143,0.11317113228140789,True,0.04997062680000042,1.0500907897999987,0.10712734379227142,0.7499706744837162,0.16619489106199298,0.16419944321581717,0.07469109014460394,1.8950028934278272e-05,0.07456373778126665,0.00028662779378324076,1.6499705314325688,1.9000191688674306,False,-0.4108774446342237,0.001372046369018505,-0.4098648542448572,0.0026075574982843425,0.3470452868879255,-0.01980023638656483,0.0035432242322468326,,False,,80.71306151112391,0.23258852402526362,1.005480335575417,196.941772461,0.9973421926910299,0.0026578073089701,,,0,0.10963455149501661,0.0026578073089701,6.07226610184,85.2120361328,0,0.9973421926910299,0.0026578073089701,,,0
density_0_nback_0_id_19,19,d0_n0,29.4502487183,30.4502735138,47.0003662109,33.8002853394,1.0000247955,2.0,False,,0.1997265815674325,False,0.0,35.1311645508,76.0667572021,,,8.99038171766,0.1997265815674325,,0.6836973537025485,-0.0105148375907545,0.11316684947202629,True,0.09972643851628504,1.099751234016285,0.107794931344705,0.04972648620000086,0.11764917799183919,0.030802308279092003,0.07469410488479737,1.809667803292803e-05,0.07459091022611,0.0002410730336686169,1.349726438516285,2.0002853870837143,False,-0.41095797952848684,0.001117831603626896,-0.40923894792794996,0.0023622045335923345,0.19631784901939084,0.22379977218223004,-0.04462380055235005,0.599726438516285,False,True,79.9164512273195,0.2283402750265844,1.0053421754598912,196.134155273,0.9974076474400518,0.002592352559948153,,,0,0.22942320155541154,0.002592352559948153,0.138671994209,41.613708555704505,0,0.8852883992222942,0.002592352559948153,0.268065989017,,0
density_0_nback_0_id_1,1,d0_n0,29.4505939484,30.7497577667,44.30078125,34.4999809265,1.2991638182999985,2.0,False,1.19940614696743,0.0002422332999998389,True,29.2711315155,236.288803101,236.288803101,1.6002421379325682,2.8994059562325667,11.236810684199998,,0.9823956987789179,0.8933436271950308,-0.07627113923331404,0.1131707087748158,False,,1.0994060039162825,0.087679354548428,3.1502423286674315,0.25577761416704614,0.010643988566392334,0.07469123150957763,1.9670774614135645e-05,0.07416986703873199,0.000914016178948183,1.9002423286674315,1.8499808311325694,False,-0.41109854296638154,0.001309530509551476,-0.40725365400315994,0.004898683296792667,0.21499867269385944,0.016240927421828665,-0.0023362426242363333,2.850242137932568,False,True,83.91701493173197,0.24542134533604723,1.0056630167486202,196.691650391,0.9973154362416108,0.0026845637583892616,,,0,0.11342281879194631,0.0026845637583892616,0.0930180028081,46.436706755304044,0,0.9765100671140939,0.0026845637583892616,0.306396007538,,0
