steer_speed_thresh_rad_s,brake_force_rate_thresh_N_s,persistence_duration_s,search_start_condition,eligible_trials,settled_rate_pct,t_stable_median_s,t_stable_iqr_s,t_stable_mean_s,t_stable_std_s,near_end_trials_pct
0.03,10.0,1.0,T_first + 2.0 s,498,100.0,21.22473526,11.78731298445,21.19720320864204,10.715311193021334,0.0
0.03,10.0,1.5,T_first + 2.0 s,498,99.79919678714859,24.600775957083712,8.60122632983257,26.809269333747576,11.576499598487576,0.2008032128514056
0.03,10.0,2.0,T_first + 2.0 s,498,98.99598393574297,25.6496181488,8.800580978400003,28.165328482341835,11.207510193101077,0.0
0.03,20.0,1.0,T_first + 2.0 s,498,100.0,21.024914860724426,11.662129282883143,20.908247385157367,10.165576637138715,0.0
0.03,20.0,1.5,T_first + 2.0 s,498,99.79919678714859,24.5497512817,8.599407911316284,26.712388045829332,11.622808757787956,0.2008032128514056
0.03,20.0,2.0,T_first + 2.0 s,498,98.99598393574297,25.500241517983717,8.900756835900001,28.07374633301419,11.211160129862554,0.0
0.03,30.0,1.0,T_first + 2.0 s,498,100.0,20.700142383582566,11.625107049916284,20.087163049052723,9.157676840058775,0.0
0.03,30.0,1.5,T_first + 2.0 s,498,99.79919678714859,24.44959306716743,8.399544239067431,26.088343779084454,10.683341278958038,0.2008032128514056
0.03,30.0,2.0,T_first + 2.0 s,498,99.19678714859438,25.449512124041856,8.93764346838779,27.654669963877485,10.633597216162734,0.0
0.05,10.0,1.0,T_first + 2.0 s,498,100.0,18.599796652808145,12.124349415278495,18.642082726618582,10.54282385588309,0.0
0.05,10.0,1.5,T_first + 2.0 s,498,100.0,22.54981863499186,7.774645865054644,24.540175098490256,11.377826805162963,0.0
0.05,10.0,2.0,T_first + 2.0 s,498,100.0,24.17484331128257,8.351189315321502,26.417383934597623,11.26361739317169,0.0
0.05,20.0,1.0,T_first + 2.0 s,498,100.0,18.54996430870814,12.08768987658257,18.368387947119114,9.916260269972268,0.0
0.05,20.0,1.5,T_first + 2.0 s,498,100.0,22.47470557687557,7.787895977513365,24.392785540544573,11.412898180341038,0.0
0.05,20.0,2.0,T_first + 2.0 s,498,100.0,24.074769854525574,8.46267259123314,26.334452208264494,11.268996505382594,0.0
