channel,onset_trigger,delta_accel_thresh_m_s2,persistence_samples,persistence_duration_ms,detection_rate_pct,latency_median_s,latency_iqr_s,latency_mean_s,latency_std_s,causal_violations_count
longitudinal_deceleration,T_first_brake (15 N),0.3,1,50,95.18072289156626,0.05000019073486328,0.5499999523162842,1.3664556837283106,4.739565519476314,0
longitudinal_deceleration,T_first_brake (15 N),0.3,2,100,95.18072289156626,0.05000019073486328,0.5499999523162842,1.4293248819399484,4.83357212268888,0
longitudinal_deceleration,T_first_brake (15 N),0.3,3,150,94.97991967871486,0.05000019073486328,0.5499999523162842,1.4816067531295356,4.899254095462404,0
longitudinal_deceleration,T_first_brake (15 N),0.5,1,50,94.97991967871486,0.10000014305114746,0.9500000476837158,2.3254756715786633,6.531527284145532,0
longitudinal_deceleration,T_first_brake (15 N),0.5,2,100,94.17670682730925,0.10000014305114746,0.9500000476837158,2.292217468147847,6.5365497929993115,0
longitudinal_deceleration,T_first_brake (15 N),0.5,3,150,91.16465863453816,0.10000014305114746,0.9500000476837158,2.339427293659832,6.704159080591129,0
longitudinal_deceleration,T_first_brake (15 N),0.8,1,50,90.96385542168674,0.15000009536743164,1.5499999523162842,2.8205297840615247,7.275961927842643,0
longitudinal_deceleration,T_first_brake (15 N),0.8,2,100,90.16064257028113,0.15000009536743164,1.6500000953674316,2.8682627900937088,7.216305678294879,0
longitudinal_deceleration,T_first_brake (15 N),0.8,3,150,89.1566265060241,0.15000009536743164,1.6625000834465027,3.030855838242952,7.464985583488446,0
longitudinal_deceleration,T_first_brake (15 N),1.0,1,50,89.1566265060241,0.19999980926513672,1.6500000953674316,3.231756734955418,7.658273136781652,0
longitudinal_deceleration,T_first_brake (15 N),1.0,2,100,88.35341365461848,0.19999980926513672,1.6500003337860107,3.3259090689095583,7.7477345819700565,0
longitudinal_deceleration,T_first_brake (15 N),1.0,3,150,87.14859437751004,0.20000004768371582,1.6500003337860107,3.2429723283662226,7.549293914891232,0
lateral_acceleration,T_first_steer (0.05 rad),0.2,1,50,100.0,0.875,1.9000000953674316,1.6654618624223763,3.486108088531552,0
lateral_acceleration,T_first_steer (0.05 rad),0.2,2,100,100.0,0.8999999761581421,1.9499998092651367,1.7813253163333878,4.11522699355806,0
lateral_acceleration,T_first_steer (0.05 rad),0.2,3,150,100.0,0.9000000953674316,1.949999988079071,1.789357444847444,4.114463518890188,0
lateral_acceleration,T_first_steer (0.05 rad),0.4,1,50,100.0,1.875,3.25,3.273092382882972,6.051120995491593,0
lateral_acceleration,T_first_steer (0.05 rad),0.4,2,100,100.0,1.9000000953674316,3.25,3.3545180865559714,6.219990709588873,0
lateral_acceleration,T_first_steer (0.05 rad),0.4,3,150,100.0,1.9000000953674316,3.299999952316284,3.409236961579227,6.266570392856421,0
lateral_acceleration,T_first_steer (0.05 rad),0.6,1,50,99.59839357429718,2.799999952316284,4.0,4.7506048530340195,6.656905707097076,0
lateral_acceleration,T_first_steer (0.05 rad),0.6,2,100,99.59839357429718,2.8000000715255737,4.037500023841858,4.776008078167515,6.665068672944456,0
lateral_acceleration,T_first_steer (0.05 rad),0.6,3,150,99.59839357429718,2.825000047683716,4.162500083446503,4.791129045428768,6.668905832706882,0
