trial_id,participant_id,scenario_id,density,nback,first_action_type,action_order_string,dt_steer_minus_brake,dt_brake_minus_accel,is_simultaneous_brake_steer,is_simultaneous_accel_steer
density_20_nback_2_id_49,49,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,5.050000190734863,0.75,False,False
density_0_nback_0_id_50,50,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,3.1999998092651367,0.10000014305114746,False,False
density_0_nback_1_id_50,50,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-46.700000047683716,,False,False
density_0_nback_2_id_50,50,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,2.450000047683716,,False,False
density_10_nback_0_id_50,50,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,0.0,0.14999985694885254,True,False
density_10_nback_1_id_50,50,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.049999952316284,0.10000014305114746,False,False
density_10_nback_2_id_50,50,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,3.6499998569488525,1.25,False,False
density_20_nback_0_id_50,50,density_20_nback_0,20,0,STEER_FIRST,steer -> brake -> accel_release,-1.0499999523162842,-0.15000009536743164,False,False
density_20_nback_1_id_50,50,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,6.25,0.20000004768371582,False,False
density_20_nback_2_id_50,50,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,7.049999952316284,0.8000001907348633,False,False
density_0_nback_0_id_51,51,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,3.8999998569488525,0.10000014305114746,False,False
density_0_nback_1_id_51,51,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-43.049999952316284,,False,False
density_0_nback_2_id_51,51,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,1.5,,False,False
density_10_nback_0_id_51,51,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,0.0,0.14999985694885254,True,False
density_10_nback_1_id_51,51,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.799999952316284,0.10000014305114746,False,False
density_10_nback_2_id_51,51,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,5.25,1.2000000476837158,False,False
density_20_nback_0_id_51,51,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.6500000953674316,0.2999999523162842,False,False
density_20_nback_1_id_51,51,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,6.299999952316284,0.34999990463256836,False,False
density_20_nback_2_id_51,51,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,2.3500001430511475,0.75,False,False
density_0_nback_0_id_52,52,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.5499999523162842,0.10000014305114746,False,False
density_0_nback_1_id_52,52,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-2.3500001430511475,,False,False
density_0_nback_2_id_52,52,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,3.5,,False,False
density_10_nback_0_id_52,52,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,0.0,0.14999985694885254,True,False
density_10_nback_1_id_52,52,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,2.5,0.09999990463256836,False,False
density_10_nback_2_id_52,52,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,3.0999999046325684,1.2000000476837158,False,False
density_20_nback_0_id_52,52,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5999999046325684,0.7999999523162842,False,False
density_20_nback_1_id_52,52,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,5.299999952316284,0.34999990463256836,False,False
density_20_nback_2_id_52,52,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,15.099999904632568,0.9000000953674316,False,False
density_0_nback_0_id_53,53,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.5499999523162842,0.15000009536743164,False,False
density_0_nback_1_id_53,53,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-17.90000009536743,,False,False
density_0_nback_2_id_53,53,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-28.5,,False,False
density_10_nback_0_id_53,53,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> brake -> steer,0.09999990463256836,0.04999995231628418,True,False
density_10_nback_1_id_53,53,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.5,0.15000009536743164,False,False
density_10_nback_2_id_53,53,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,3.4000000953674316,1.0999999046325684,False,False
