trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_10_nback_2_id_6,6,density_10_nback_2,10,2,6,5,31,39,61
density_20_nback_0_id_6,6,density_20_nback_0,20,0,7,3,65,198,210
density_20_nback_1_id_6,6,density_20_nback_1,20,1,5,3,15,46,71
density_20_nback_2_id_6,6,density_20_nback_2,20,2,3,3,37,24,266
density_0_nback_0_id_7,7,density_0_nback_0,0,0,2,1,3,57,77
density_0_nback_1_id_7,7,density_0_nback_1,0,1,1,0,0,88,92
density_0_nback_2_id_7,7,density_0_nback_2,0,2,2,0,11,97,154
density_10_nback_0_id_7,7,density_10_nback_0,10,0,3,3,12,53,65
density_10_nback_1_id_7,7,density_10_nback_1,10,1,2,0,5,68,201
density_10_nback_2_id_7,7,density_10_nback_2,10,2,3,1,15,66,84
density_20_nback_0_id_7,7,density_20_nback_0,20,0,2,0,3,197,213
density_20_nback_1_id_7,7,density_20_nback_1,20,1,4,5,9,44,68
density_20_nback_2_id_7,7,density_20_nback_2,20,2,6,4,18,7,264
density_0_nback_0_id_8,8,density_0_nback_0,0,0,1,0,5,70,93
density_0_nback_1_id_8,8,density_0_nback_1,0,1,1,0,2,118,118
density_0_nback_2_id_8,8,density_0_nback_2,0,2,2,0,12,53,142
density_10_nback_0_id_8,8,density_10_nback_0,10,0,3,6,10,26,42
density_10_nback_1_id_8,8,density_10_nback_1,10,1,4,0,16,109,149
density_10_nback_2_id_8,8,density_10_nback_2,10,2,6,5,13,83,91
density_20_nback_0_id_8,8,density_20_nback_0,20,0,2,2,4,209,228
density_20_nback_1_id_8,8,density_20_nback_1,20,1,4,3,7,61,88
density_20_nback_2_id_8,8,density_20_nback_2,20,2,6,6,15,12,268
density_0_nback_0_id_9,9,density_0_nback_0,0,0,2,1,10,73,89
density_0_nback_1_id_9,9,density_0_nback_1,0,1,1,0,0,89,94
density_0_nback_2_id_9,9,density_0_nback_2,0,2,1,0,5,138,186
density_10_nback_0_id_9,9,density_10_nback_0,10,0,2,1,25,20,47
density_10_nback_1_id_9,9,density_10_nback_1,10,1,3,1,12,82,190
density_10_nback_2_id_9,9,density_10_nback_2,10,2,3,2,11,55,80
density_20_nback_0_id_9,9,density_20_nback_0,20,0,2,0,3,213,217
density_20_nback_1_id_9,9,density_20_nback_1,20,1,4,2,24,29,80
density_20_nback_2_id_9,9,density_20_nback_2,20,2,8,7,91,65,262
density_0_nback_0_id_10,10,density_0_nback_0,0,0,2,4,6,71,84
density_0_nback_1_id_10,10,density_0_nback_1,0,1,2,0,3,125,127
density_0_nback_2_id_10,10,density_0_nback_2,0,2,4,2,15,64,173
density_10_nback_0_id_10,10,density_10_nback_0,10,0,10,11,29,35,55
density_10_nback_1_id_10,10,density_10_nback_1,10,1,2,0,7,85,138
density_10_nback_2_id_10,10,density_10_nback_2,10,2,6,4,17,44,55
density_20_nback_0_id_10,10,density_20_nback_0,20,0,3,1,6,213,221
density_20_nback_1_id_10,10,density_20_nback_1,20,1,11,11,24,26,79
density_20_nback_2_id_10,10,density_20_nback_2,20,2,5,2,16,10,204
density_0_nback_0_id_11,11,density_0_nback_0,0,0,2,0,5,68,82
density_0_nback_1_id_11,11,density_0_nback_1,0,1,1,0,0,139,143
density_0_nback_2_id_11,11,density_0_nback_2,0,2,3,7,13,119,189
