trial_id,participant_id,scenario_id,density,nback,T_stable_candA,candA_settled,T_stable_candB,candB_settled,T_stable_candC,candC_settled,T_stable_candD,candD_settled,candB_minus_candA,candD_minus_candA
density_0_nback_0_id_1,1,density_0_nback_0,0,0,50.049999952316284,True,,False,,False,38.15000009536743,True,,-11.899999856948853
density_0_nback_1_id_1,1,density_0_nback_1,0,1,60.25,True,,False,,False,49.65000009536743,True,,-10.599999904632568
density_0_nback_2_id_1,1,density_0_nback_2,0,2,43.950000047683716,True,77.34999990463257,True,,False,43.09999990463257,True,33.39999985694885,-0.8500001430511475
density_10_nback_0_id_1,1,density_10_nback_0,10,0,21.15000009536743,True,41.950000047683716,True,,False,35.09999990463257,True,20.799999952316284,13.949999809265137
density_10_nback_1_id_1,1,density_10_nback_1,10,1,53.549999952316284,True,43.799999952316284,True,,False,37.15000009536743,True,-9.75,-16.399999856948853
density_10_nback_2_id_1,1,density_10_nback_2,10,2,27.700000047683716,True,,False,,False,36.15000009536743,True,,8.450000047683716
density_20_nback_0_id_1,1,density_20_nback_0,20,0,79.29999995231628,True,,False,,False,64.79999995231628,True,,-14.5
density_20_nback_1_id_1,1,density_20_nback_1,20,1,54.09999990463257,True,47.049999952316284,True,,False,41.34999990463257,True,-7.049999952316284,-12.75
density_20_nback_2_id_1,1,density_20_nback_2,20,2,49.59999990463257,True,70.70000004768372,True,,False,63.950000047683716,True,21.100000143051147,14.350000143051147
density_0_nback_0_id_2,2,density_0_nback_0,0,0,48.549999952316284,True,43.15000009536743,True,,False,37.799999952316284,True,-5.3999998569488525,-10.75
density_0_nback_1_id_2,2,density_0_nback_1,0,1,57.34999990463257,True,,False,,False,46.549999952316284,True,,-10.799999952316284
density_0_nback_2_id_2,2,density_0_nback_2,0,2,53.700000047683716,True,,False,,False,39.200000047683716,True,,-14.5
density_10_nback_0_id_2,2,density_10_nback_0,10,0,21.200000047683716,True,,False,,False,28.950000047683716,True,,7.75
density_10_nback_1_id_2,2,density_10_nback_1,10,1,45.15000009536743,True,48.5,True,45.25,True,35.200000047683716,True,3.3499999046325684,-9.950000047683716
density_10_nback_2_id_2,2,density_10_nback_2,10,2,45.549999952316284,True,,False,,False,36.200000047683716,True,,-9.349999904632568
density_20_nback_0_id_2,2,density_20_nback_0,20,0,67.25,True,,False,,False,57.700000047683716,True,,-9.549999952316284
density_20_nback_1_id_2,2,density_20_nback_1,20,1,45.049999952316284,True,45.200000047683716,True,,False,33.34999990463257,True,0.15000009536743164,-11.700000047683716
density_20_nback_2_id_2,2,density_20_nback_2,20,2,67.09999990463257,True,67.54999995231628,True,,False,56.65000009536743,True,0.4500000476837158,-10.449999809265137
density_0_nback_0_id_3,3,density_0_nback_0,0,0,36.299999952316284,True,,False,,False,36.90000009536743,True,,0.6000001430511475
density_0_nback_1_id_3,3,density_0_nback_1,0,1,55.450000047683716,True,,False,,False,47.0,True,,-8.450000047683716
density_0_nback_2_id_3,3,density_0_nback_2,0,2,51.200000047683716,True,35.450000047683716,True,,False,39.09999990463257,True,-15.75,-12.100000143051147
density_10_nback_0_id_3,3,density_10_nback_0,10,0,30.299999952316284,True,24.299999952316284,True,,False,29.15000009536743,True,-6.0,-1.1499998569488525
density_10_nback_1_id_3,3,density_10_nback_1,10,1,45.049999952316284,True,35.59999990463257,True,45.59999990463257,True,34.799999952316284,True,-9.450000047683716,-10.25
density_10_nback_2_id_3,3,density_10_nback_2,10,2,51.25,True,,False,,False,37.59999990463257,True,,-13.650000095367432
density_20_nback_0_id_3,3,density_20_nback_0,20,0,92.59999990463257,True,,False,,False,72.04999995231628,True,,-20.549999952316284
density_20_nback_1_id_3,3,density_20_nback_1,20,1,36.0,True,46.5,True,,False,34.15000009536743,True,10.5,-1.8499999046325684
density_20_nback_2_id_3,3,density_20_nback_2,20,2,65.75,True,58.950000047683716,True,,False,56.700000047683716,True,-6.799999952316284,-9.049999952316284
density_0_nback_0_id_4,4,density_0_nback_0,0,0,48.200000047683716,True,,False,,False,37.0,True,,-11.200000047683716
density_0_nback_1_id_4,4,density_0_nback_1,0,1,55.15000009536743,True,,False,,False,46.950000047683716,True,,-8.200000047683716
density_0_nback_2_id_4,4,density_0_nback_2,0,2,55.0,True,36.049999952316284,True,,False,39.200000047683716,True,-18.950000047683716,-15.799999952316284
density_10_nback_0_id_4,4,density_10_nback_0,10,0,21.200000047683716,True,,False,,False,29.299999952316284,True,,8.099999904632568
density_10_nback_1_id_4,4,density_10_nback_1,10,1,46.799999952316284,True,34.950000047683716,True,47.40000009536743,True,34.950000047683716,True,-11.849999904632568,-11.849999904632568
density_10_nback_2_id_4,4,density_10_nback_2,10,2,27.34999990463257,True,43.799999952316284,True,,False,35.299999952316284,True,16.450000047683716,7.950000047683716
density_20_nback_0_id_4,4,density_20_nback_0,20,0,69.09999990463257,True,,False,,False,55.90000009536743,True,,-13.199999809265137
density_20_nback_1_id_4,4,density_20_nback_1,20,1,38.0,True,27.549999952316284,True,,False,34.25,True,-10.450000047683716,-3.75
density_20_nback_2_id_4,4,density_20_nback_2,20,2,66.54999995231628,True,55.049999952316284,True,,False,56.34999990463257,True,-11.5,-10.200000047683716
density_0_nback_0_id_5,5,density_0_nback_0,0,0,46.40000009536743,True,,False,,False,37.15000009536743,True,,-9.25
density_0_nback_1_id_5,5,density_0_nback_1,0,1,59.84999990463257,True,,False,,False,45.549999952316284,True,,-14.299999952316284
density_0_nback_2_id_5,5,density_0_nback_2,0,2,62.700000047683716,True,77.29999995231628,True,,False,41.90000009536743,True,14.599999904632568,-20.799999952316284
density_10_nback_0_id_5,5,density_10_nback_0,10,0,21.299999952316284,True,70.70000004768372,True,,False,29.200000047683716,True,49.40000009536743,7.900000095367432
