trial_id,participant_id,scenario_id,density,nback,initial_peak_brake_force_N,brake_rise_rate_N_per_s,time_to_peak_brake_s,initial_peak_steering_rad,initial_peak_steering_deg,initial_steering_rate_rad_per_s,simultaneous_brake_and_steer_flag,speed_at_T_first_m_per_s,speed_at_T_effective_m_per_s,min_speed_post_tor_m_per_s,speed_drop_m_per_s
density_0_nback_0_id_1,1,density_0_nback_0,0,0,236.288803101,152.61298773077058,1.4499998092651367,0.10057794224277763,5.762691602621716,0.695831000805,False,27.7673416138,27.7523441315,20.7325935364,7.0347480774
density_0_nback_1_id_1,1,density_0_nback_1,0,1,232.626571655,117.63599074250935,1.8499999046325684,0.13811324987761578,7.913306312823118,0.218612909317,False,18.6919975281,18.2620410919,8.46343612671,10.22856140139
density_0_nback_2_id_1,1,density_0_nback_2,0,2,353.889282227,271.1114257816,1.25,0.22267835388252005,12.758529866388988,0.477295964956,False,24.4736347198,24.4039077759,9.18299293518,15.29064178462
density_10_nback_0_id_1,1,density_10_nback_0,10,0,16.5137748718,3.027549743599998,0.5,0.0588320143961342,3.37082612515139,0.45935317874,True,26.8585968018,26.8585968018,4.19609975815,22.66249704365
density_10_nback_1_id_1,1,density_10_nback_1,10,1,352.326721191,168.6633605955,2.0,0.3882993767097183,22.247915473027312,2.13317084312,False,27.7647781372,27.7534198761,11.1034374237,16.6613407135
density_10_nback_2_id_1,1,density_10_nback_2,10,2,69.000831604,27.000415802,2.0,0.35587331750692497,20.390039134465912,1.52456796169,False,24.9501895905,24.825799942,15.6762266159,9.2739629746
density_20_nback_0_id_1,1,density_20_nback_0,20,0,391.076385498,683.7753056417224,0.5499999523162842,0.10733891758875,6.150066955337934,0.234823256731,True,25.0688056946,24.4655151367,2.92667603493,22.14212965967
density_20_nback_1_id_1,1,density_20_nback_1,20,1,382.790313721,222.90323976216015,1.6499998569488525,0.11589924177178498,6.640537402289613,0.33806926012,False,24.9995555878,24.9995555878,-0.0550799034536,25.0546354912536
density_20_nback_2_id_1,1,density_20_nback_2,20,2,400.0,248.38710441549685,1.5499999523162842,0.3608078645743283,20.67276785523678,0.68077069521,False,22.0215587616,22.0215587616,-0.0664442852139,22.088003046813903
density_0_nback_0_id_2,2,density_0_nback_0,0,0,59.816280365,25.609303065714283,1.75,0.09741509372498554,5.581473731313021,0.236559092999,False,27.7605686188,27.7155075073,21.6604366302,6.100131988600001
density_0_nback_1_id_2,2,density_0_nback_1,0,1,32.3001098633,31.454747933053206,0.5499999523162842,0.1429359746213737,8.189628086393759,0.373784929514,False,18.6913833618,18.3834037781,9.55391120911,9.13747215269
density_0_nback_2_id_2,2,density_0_nback_2,0,2,19.3869056702,7.976192819153659,0.5499999523162842,0.12751753336203187,7.306216475563097,0.362277984619,False,23.6839256287,23.1468830109,22.6311206818,1.0528049469000003
density_10_nback_0_id_2,2,density_10_nback_0,10,0,24.950881958,6.633921305333334,1.5,0.051625095479385125,2.957900087928673,0.0154474126175,True,26.8254241943,26.8254241943,17.2026805878,9.622743606499998
density_10_nback_1_id_2,2,density_10_nback_1,10,1,155.967025757,117.47251679622823,1.2000000476837158,0.15819840782676903,9.064101094163235,0.430383741856,False,27.7541694641,27.7326488495,18.2884273529,9.465742111199997
density_10_nback_2_id_2,2,density_10_nback_2,10,2,63.2343521118,24.1171760559,2.0,0.1812628467424776,10.385596100870629,0.521789848804,False,24.8508834839,24.7042179108,15.7526054382,9.098278045699999
