trial_id,participant_id,scenario_id,density,nback,T_request,T_manual_start,delta_T_manual_start,T_first_brake,T_first_steer,T_first_accel,T_first_ctrl,T_first_any,T_effective_dec,T_effective_lat,T_effective_any,T_stable_candA,T_stable_candB,T_stable_candC,T_stable_candD,dt_req_to_manual_start,dt_req_to_first,dt_req_to_first_any,dt_manual_start_to_first,dt_first_to_eff,dt_eff_to_stable_candA,dt_eff_to_stable_candB,dt_req_to_stable_candA,dt_req_to_stable_candB
density_0_nback_0_id_1,1,density_0_nback_0,0,0,29.4505939484,30.7497577667,1.2991638182999985,30.65000009536743,32.700000047683716,30.549999952316284,30.65000009536743,30.549999952316284,30.65000009536743,32.25,30.65000009536743,50.049999952316284,,,38.15000009536743,1.2991638182999985,1.19940614696743,1.0994060039162825,-0.09975767133256852,0.0,19.399999856948853,,20.599406003916283,
density_0_nback_1_id_1,1,density_0_nback_1,0,1,34.1994094849,35.8501243591,1.6507148741999984,37.200000047683716,35.299999952316284,,35.299999952316284,35.299999952316284,37.200000047683716,36.25,36.25,60.25,,,49.65000009536743,1.6507148741999984,1.100590467416282,1.100590467416282,-0.5501244067837163,0.9500000476837158,24.0,,26.050590515099998,
density_0_nback_2_id_1,1,density_0_nback_2,0,2,,30.9499511719,,31.549999952316284,33.450000047683716,,31.549999952316284,31.549999952316284,31.59999990463257,34.049999952316284,31.59999990463257,43.950000047683716,77.34999990463257,,43.09999990463257,,,,0.6000487804162837,0.04999995231628418,12.350000143051147,45.75,,
density_10_nback_0_id_1,1,density_10_nback_0,10,0,21.1491756439,22.0001220703,0.8509464264000002,21.59999990463257,21.299999952316284,21.15000009536743,21.299999952316284,21.15000009536743,21.15000009536743,21.25,21.15000009536743,21.15000009536743,41.950000047683716,,35.09999990463257,0.8509464264000002,0.1508243084162828,0.000824451467430265,-0.7001221179837174,-0.14999985694885254,0.0,20.799999952316284,0.000824451467430265,20.800824403783714
density_10_nback_1_id_1,1,density_10_nback_1,10,1,26.0495834351,27.5499267578,1.500343322700001,27.34999990463257,30.40000009536743,27.200000047683716,27.34999990463257,27.200000047683716,27.34999990463257,30.950000047683716,27.34999990463257,53.549999952316284,43.799999952316284,,37.15000009536743,1.500343322700001,1.3004164695325677,1.1504166125837152,-0.1999268531674332,0.0,26.200000047683716,16.450000047683716,27.500416517216284,17.750416517216284
density_10_nback_2_id_1,1,density_10_nback_2,10,2,26.8994789124,29.1990127563,2.299533843900001,28.09999990463257,29.75,26.90000009536743,28.09999990463257,26.90000009536743,27.200000047683716,29.84999990463257,27.200000047683716,27.700000047683716,,,36.15000009536743,2.299533843900001,1.200520992232569,0.0005211829674323099,-1.0990128516674318,-0.8999998569488525,0.5,,0.8005211352837165,
density_20_nback_0_id_1,1,density_20_nback_0,20,0,,47.7006225586,,50.450000047683716,50.5,48.65000009536743,50.450000047683716,48.65000009536743,50.450000047683716,50.549999952316284,50.450000047683716,79.29999995231628,,,64.79999995231628,,,,2.749377489083713,0.0,28.84999990463257,,,
density_20_nback_1_id_1,1,density_20_nback_1,20,1,24.0501327515,25.0493030548,0.9991703032999979,24.90000009536743,28.40000009536743,24.200000047683716,24.90000009536743,24.200000047683716,24.200000047683716,35.0,24.200000047683716,54.09999990463257,47.049999952316284,,41.34999990463257,0.9991703032999979,0.8498673438674302,0.14986729618371442,-0.14930295943256766,-0.7000000476837158,29.899999856948853,22.84999990463257,30.049867153132567,22.999867200816283
density_20_nback_2_id_1,1,density_20_nback_2,20,2,49.2505111694,51.1003799438,1.8498687744000009,51.450000047683716,59.90000009536743,49.299999952316284,51.450000047683716,49.299999952316284,49.299999952316284,60.799999952316284,49.299999952316284,49.59999990463257,70.70000004768372,,63.950000047683716,1.8498687744000009,2.1994888782837165,0.04948878291628489,0.34962010388371567,-2.1500000953674316,0.2999999523162842,21.40000009536743,0.34948873523256907,21.449488878283717
density_0_nback_0_id_2,2,density_0_nback_0,0,0,29.4496879578,31.3002529144,1.850564956600003,30.65000009536743,33.450000047683716,30.549999952316284,30.65000009536743,30.549999952316284,30.700000047683716,33.65000009536743,30.700000047683716,48.549999952316284,43.15000009536743,,37.799999952316284,1.850564956600003,1.2003121375674333,1.1003119945162858,-0.6502528190325698,0.04999995231628418,17.84999990463257,12.450000047683716,19.100311994516286,13.700312137567433
