participant_id,n_trials,delta_t_man_start_median,delta_t_man_start_iqr,dt_req_to_first_median,dt_req_to_first_iqr,dt_first_to_eff_median,dt_first_to_eff_iqr,dt_eff_to_stableA_median,init_peak_bf_median,init_peak_st_deg_median,st_reversals_median,brake_reapp_median,modal_first_action
1,9,1.500343322700001,0.6011247635000014,1.19940614696743,0.2752398252407122,0.0,0.7000000476837158,19.399999856948853,352.326721191,7.913306312823118,89.0,1.0,BRAKE_FIRST
2,9,1.8508834838999988,0.24976158140000138,1.1492621898162838,0.8006722926511465,0.0,0.25,18.09999990463257,59.816280365,7.306216475563097,75.0,3.0,BRAKE_FIRST
3,9,1.6002922058499998,1.4251685142250015,0.9754825830418596,0.9378835558540741,0.0,0.3000001907348633,17.649999856948853,75.42098236105,5.22387317279671,69.0,2.0,BRAKE_FIRST
4,9,2.0999393463999994,1.5504131318000027,1.1004798412162842,0.850359439767427,0.0,0.25,17.5,37.6991825104,5.58115617806866,68.0,1.0,BRAKE_FIRST
5,9,2.1996612549000005,0.4500827789000006,1.1007354259162838,0.8000721930674359,0.0,0.34999990463256836,23.899999856948853,90.5481414795,12.451470625544182,70.0,2.0,BRAKE_FIRST
6,9,1.6000108719500012,0.6627378464499971,1.1502109766418585,0.17534691098721034,0.04999995231628418,0.2999999523162842,24.050000190734863,102.408416748,5.0117413991020605,60.0,3.0,BRAKE_FIRST
7,9,1.6500740051000022,1.0508041382000037,1.1002852917162826,0.898200750351144,0.04999995231628418,0.2500002384185791,18.25,37.3244972229,5.3230104028625815,66.0,1.0,BRAKE_FIRST
8,9,1.6499328613000017,0.24941635140000074,1.1999030113325695,0.4497165679999995,0.0,0.8499999046325684,25.199999809265137,44.2671432495,13.313113385543863,70.0,2.0,BRAKE_FIRST
9,9,1.5751943588500001,0.28741550444999486,1.1249755620581396,0.7753105163500003,0.04999995231628418,0.20000004768371582,18.399999856948853,46.900188446,8.992007781862318,73.0,1.0,BRAKE_FIRST
10,9,1.4495353697999995,0.3990497588999986,1.1006941795325673,0.8505978584674274,0.04999995231628418,0.15000009536743164,23.350000143051147,136.858642578,6.070077142385799,64.0,2.0,BRAKE_FIRST
11,9,1.5993728637999993,0.27513027185000105,1.1749601364500002,0.5883580445842895,0.04999995231628418,0.2499997615814209,20.84999990463257,43.409526825,12.766567750878254,68.0,3.0,BRAKE_FIRST
12,9,0.6007862091000007,0.5496578216999986,1.1505858898162842,0.9493520260511481,0.0,0.2500002384185791,20.5,30.7626571655,7.694953719639399,73.0,1.0,BRAKE_FIRST
13,9,2.4493598938000005,1.1494960784999968,1.1004531383162828,0.8502759933348614,0.04999995231628418,0.3000001907348633,19.549999952316284,50.2481422424,7.924511402135547,69.0,1.0,BRAKE_FIRST
14,9,1.1000032425000015,0.9744825363499983,1.2001267671744245,0.5132436156703557,0.0,0.19999980926513672,17.34999990463257,58.5683403015,11.439984118383464,54.0,2.0,STEER_FIRST
15,9,1.7000064849999994,0.9004554748499984,1.1503410338999984,0.24987232685928973,0.0,0.19999980926513672,21.75,117.275154114,4.514008169180506,79.0,2.0,BRAKE_FIRST
16,9,1.3501892089999998,0.5495567321999992,1.100605726216287,0.8992276191674335,0.04999995231628418,0.2999997138977051,20.700000047683716,42.3121032715,6.465157491322772,74.0,1.0,BRAKE_FIRST
17,9,1.2998638153000002,0.3495216369000005,1.1499257087674302,0.4498264789837165,0.04999995231628418,0.8500001430511475,18.649999856948853,43.0267791748,5.809093603914633,69.0,2.0,BRAKE_FIRST
18,9,1.0001201629999983,0.5502777099999996,1.1499423980999985,0.8001916408511498,0.04999995231628418,0.2500002384185791,23.75,88.5633392334,7.388749050132354,91.0,1.0,BRAKE_FIRST
19,9,1.4999160766999964,0.6507167815999999,1.1997513770674324,0.4997215271000002,0.0,0.8499999046325684,21.25,35.1311645508,5.017223562544423,85.0,1.0,BRAKE_FIRST
20,9,1.8499317168999987,0.3505725861000002,1.1000945568162876,0.8001859188511489,0.0,0.25,18.90000009536743,45.0447540283,4.606258001640317,63.0,6.0,BRAKE_FIRST
21,9,1.999866485600002,0.7991676329999997,1.0992102623325692,0.8987698555674299,0.04999995231628418,0.2499997615814209,21.59999990463257,45.5830383301,5.452154620738399,83.0,3.0,BRAKE_FIRST
22,9,1.699802398700001,1.4498825073000035,1.1500639915325692,0.8512101173674331,-0.14999985694885254,0.8000001907348633,17.5,43.8063583374,5.638388348576503,61.0,1.0,BRAKE_FIRST
23,9,2.2500247955,0.5496540070000009,1.10014486313257,0.8503460883674343,0.0,0.3000001907348633,14.200000047683716,28.5198040009,7.484649443875111,56.0,2.0,BRAKE_FIRST
24,9,2.050281524700001,1.0485343933999935,1.049441575983714,0.7501559257325674,-0.15000009536743164,0.7999997138977051,21.0,53.988243103,14.370129943392245,66.0,2.0,BRAKE_FIRST
25,9,1.2497005463000015,0.6001892091000016,1.199175357867432,0.8496353626837134,0.04999995231628418,0.20000004768371582,19.049999952316284,41.5633354187,4.78035302183049,78.0,1.0,BRAKE_FIRST
26,9,1.7499771117999998,0.35019302370000105,1.1499810218674327,0.799766302151145,0.0,0.3000001907348633,17.299999952316284,49.9423179626,5.726495922992027,61.0,2.0,BRAKE_FIRST
27,9,2.2497138976999977,0.9502258299999937,1.1002242565162845,0.7999703884511469,0.04999995231628418,0.35000014305114746,29.049999952316284,89.0760498047,8.300189644778593,94.0,3.0,BRAKE_FIRST
28,9,1.3500480651999993,0.550436019899994,1.1001327038162856,1.0003981590325708,0.0,0.20000028610229492,21.799999952316284,40.913608551,5.531194029537936,69.0,2.0,BRAKE_FIRST
29,9,1.999994277999999,1.3007507325000027,1.1000182628162847,0.8488469124674296,0.0,0.35000014305114746,21.649999856948853,46.3817825317,11.789037048686184,54.0,1.0,BRAKE_FIRST
30,9,1.799581527800001,0.15005874629999738,1.1007308960000017,0.7998852729674297,0.04999995231628418,0.2499997615814209,8.049999952316284,44.5067138672,6.509091470049058,77.0,1.0,BRAKE_FIRST
31,9,1.4504699706999986,0.4998874665000006,1.1999669074674308,0.32483911516743014,0.04999995231628418,0.25,25.0,50.9292869568,6.063736437544317,76.0,2.0,BRAKE_FIRST
32,9,1.5004119873000015,0.14987945549999893,1.1001784801162842,0.8002755641511499,0.04999995231628418,0.2499997615814209,18.449999809265137,37.1850547791,6.773778856690121,61.0,4.0,BRAKE_FIRST
