trial_id,participant_id,scenario_id,density,nback,total_samples,duration_s,dt_mean,dt_std,is_strictly_monotonic,has_duplicate_timestamps,has_tor_request,tor_request_time,has_manual_start,manual_start_time,has_manual_stop,manual_stop_time,delta_t_manual_start,bf_min,bf_max,acc_min,acc_max,st_min_rad,st_max_rad,min_obstacle_distance,has_lane_change,lane_change_time,collision_outcome,usable_status,reason_code
density_20_nback_0_id_2,2,density_20_nback_0,20,0,1865,93.20000004768372,0.050000000025581394,9.53866123252513e-08,True,False,True,48.6503601074,True,50.3499107361,True,63.0504188538,1.6995506287000026,0.0,105.482803345,0.0,1.0,-0.219317957759,0.239452064037,-933.503417969,True,55.1497993469,False,USABLE_FULL,NONE
density_20_nback_1_id_2,2,density_20_nback_1,20,1,1359,67.90000009536743,0.05000000007022638,9.542006105125756e-08,True,False,True,24.1002006531,True,26.1002388,True,37.8000640869,2.0000381468999997,0.0,325.240631104,0.0,1.0,-0.203945830464,0.156238347292,-660.637695312,True,29.9002952576,False,USABLE_FULL,NONE
density_20_nback_2_id_2,2,density_20_nback_2,20,2,1833,91.59999990463257,0.04999999994794354,9.532836708849643e-08,True,False,True,49.1505775452,True,51.1499481201,True,61.4508857727,1.9993705748999986,0.0,151.951919556,0.0,1.0,-0.15795686841,0.178090974689,-773.496765137,True,54.9009208679,False,USABLE_FULL,NONE
density_0_nback_0_id_3,3,density_0_nback_0,0,0,1372,68.54999995231628,0.049999999965219755,9.534133654462483e-08,True,False,True,29.4497470856,True,30.050037384,True,38.4494438171,0.6002902984000009,0.0,76.7798233032,0.0,1.0,-0.209673315287,0.165866702795,-762.299682617,True,34.3491439819,False,USABLE_FULL,NONE
density_0_nback_1_id_3,3,density_0_nback_1,0,1,1579,78.90000009536743,0.05000000006043563,9.541272845989847e-08,True,False,True,34.1989974976,True,36.4500350952,True,48.7999954224,2.2510375976000034,0.0,220.18901062,0.0,1.0,-0.493415683508,0.321972966194,-628.204101562,True,41.099861145,False,USABLE_FULL,NONE
density_0_nback_2_id_3,3,density_0_nback_2,0,2,1511,75.5,0.05,9.5367431640625e-08,True,False,False,,True,30.5995292664,True,45.3500137329,,0.0,76.7874069214,0.0,1.0,-0.429504215717,0.312529563904,-920.1015625,True,34.1990356445,False,USABLE_PREEMPTIVE,PREEMPTIVE_TAKEOVER_NO_TOR_ISSUED
density_10_nback_0_id_3,3,density_10_nback_0,10,0,1233,61.59999990463257,0.04999999992259137,9.530932605127777e-08,True,False,True,21.1001586914,True,23.0999031067,True,31.4999065399,1.9997444153000004,0.0,77.8017807007,0.0,1.0,-0.209314674139,0.0951576307416,-726.486083984,True,26.4501438141,False,USABLE_FULL,NONE
density_10_nback_1_id_3,3,density_10_nback_1,10,1,1375,68.70000004768372,0.050000000034704305,9.539345000612286e-08,True,False,True,26.0496120453,True,28.8998889923,True,38.59948349,2.8502769469999976,0.0,263.936859131,0.0,1.0,-0.833442986012,0.569903790951,-867.26550293,True,32.6498756409,False,USABLE_FULL,NONE
density_10_nback_2_id_3,3,density_10_nback_2,10,2,1446,72.25,0.05,9.5367431640625e-08,True,False,True,26.9498748779,True,27.2995510101,True,42.1000061035,0.34967613219999905,0.0,226.522872925,0.0,1.0,-0.217311158776,0.147410437465,-693.390258789,True,35.1497879028,False,USABLE_FULL,NONE
density_20_nback_0_id_3,3,density_20_nback_0,20,0,2107,105.29999995231628,0.04999999997735816,9.535044605994625e-08,True,False,True,48.6500968933,True,50.1505622864,True,75.1506958008,1.5004653931000007,0.0,393.249298096,0.0,1.0,-0.466440171003,0.629190862179,-784.66015625,True,71.3505477905,False,USABLE_FULL,NONE
density_20_nback_1_id_3,3,density_20_nback_1,20,1,1335,66.70000004768372,0.05000000003574492,9.539422986246252e-08,True,False,True,24.050037384,True,24.6998062134,True,36.5494689941,0.6497688293999992,0.0,386.208374023,0.0,1.0,-0.248560354114,0.218119502068,-647.102539062,True,31.449760437,False,USABLE_FULL,NONE
density_20_nback_2_id_3,3,density_20_nback_2,20,2,1810,90.45000004768372,0.05000000002635916,9.538719531804513e-08,True,False,True,49.1500968933,True,50.8502159119,True,60.2998695374,1.7001190185999988,0.0,147.157714844,0.0,1.0,-0.260975033045,0.220995798707,-857.926940918,True,55.7500152588,False,USABLE_FULL,NONE
density_0_nback_0_id_4,4,density_0_nback_0,0,0,1438,71.84999990463257,0.049999999933634354,9.531762130730901e-08,True,False,True,29.449836731,True,30.3494987488,True,41.7004318237,0.8996620177999972,0.0,74.9346923828,0.0,1.0,-0.210233286023,0.189510673285,-823.381469727,True,33.5498657227,False,USABLE_FULL,NONE
density_0_nback_1_id_4,4,density_0_nback_1,0,1,1595,79.70000004768372,0.050000000029914504,9.538986018784015e-08,True,False,True,34.1995201111,True,37.2995643616,True,49.5995483398,3.100044250499998,0.0,260.992553711,0.0,1.0,-0.314536184072,0.31123816967,-632.543579102,True,41.1491508484,False,USABLE_FULL,NONE
density_0_nback_2_id_4,4,density_0_nback_2,0,2,1584,79.15000009536743,0.05000000006024474,9.541258548131017e-08,True,False,True,31.7500667572,True,32.1499061584,True,49.0496368408,0.3998394012000013,0.0,76.1140975952,0.0,1.0,-0.309874564409,0.125838175416,-978.421142578,True,35.650062561,False,USABLE_FULL,NONE
density_10_nback_0_id_4,4,density_10_nback_0,10,0,1227,61.299999952316284,0.04999999996110627,9.533824894537304e-08,True,False,True,21.1507015228,True,23.4501590729,True,31.1996212006,2.2994575501000014,0.0,75.3095550537,0.0,1.0,-0.209315523505,0.144294440746,-722.20703125,True,26.5001392365,False,USABLE_FULL,NONE
density_10_nback_1_id_4,4,density_10_nback_1,10,1,1361,68.0,0.05,9.536743164062499e-08,True,False,True,26.0501880646,True,29.8000545502,True,37.9000396729,3.7498664855999984,0.0,271.341369629,0.0,1.0,-0.368220120668,0.422097206116,-838.389892578,True,31.9500617981,False,USABLE_FULL,NONE
density_10_nback_2_id_4,4,density_10_nback_2,10,2,1377,68.79999995231628,0.04999999996534614,9.534143140281876e-08,True,False,True,26.8999919891,True,29.3500671387,True,38.7003517151,2.4500751496,0.0,76.4963760376,0.0,1.0,-0.293566018343,0.19906771183,-636.265991211,True,32.59998703,False,USABLE_FULL,NONE
density_20_nback_0_id_4,4,density_20_nback_0,20,0,1890,94.45000004768372,0.05000000002524284,9.538635854816315e-08,True,False,True,48.6501960754,True,49.3503913879,True,64.3003234863,0.7001953125,0.0,25.2325839996,0.0,0.705583572388,-0.216201975942,0.165866702795,-964.239318848,True,52.2001876831,False,USABLE_FULL,NONE
density_20_nback_1_id_4,4,density_20_nback_1,20,1,1639,81.90000009536743,0.050000000058221875,9.541107029062571e-08,True,False,True,24.0500888824,True,26.1500282288,True,51.750125885,2.0999393463999994,0.0,325.437072754,0.0,1.0,-0.231644883752,0.111501090229,-858.644287109,True,31.1499404907,False,USABLE_FULL,NONE
density_20_nback_2_id_4,4,density_20_nback_2,20,2,1850,92.45000004768372,0.05000000002578892,9.538676788460022e-08,True,False,True,49.15001297,True,50.9504241943,True,62.3003311157,1.8004112242999994,0.0,159.893600464,0.0,1.0,-0.131392151117,0.212304517627,-911.531433105,True,54.3006248474,False,USABLE_FULL,NONE
density_0_nback_0_id_5,5,density_0_nback_0,0,0,1318,65.84999990463257,0.04999999992758737,9.531307918933862e-08,True,False,True,29.4498996735,True,31.3998680115,True,35.7499809265,1.9499683380000015,0.0,76.8097610474,0.0,1.0,-1.02659976482,0.273248612881,-707.369750977,True,34.1999778748,False,USABLE_FULL,NONE
density_0_nback_1_id_5,5,density_0_nback_1,0,1,1695,84.70000004768372,0.05000000002814859,9.538853659561581e-08,True,False,True,34.1992645264,True,36.5993156433,True,54.5498008728,2.400051116900002,0.0,251.343490601,0.0,1.0,-0.488007634878,0.308463960886,-939.680419922,True,41.7497711182,False,USABLE_FULL,NONE
density_0_nback_2_id_5,5,density_0_nback_2,0,2,1740,86.95000004768372,0.050000000027420194,9.53879906274917e-08,True,False,True,31.7998714447,True,33.5998802185,True,56.8498802185,1.8000087737999984,0.0,121.889556885,0.0,1.0,-0.233428865671,0.317831277847,-1199.64672852,True,38.4500389099,False,USABLE_FULL,NONE
density_10_nback_0_id_5,5,density_10_nback_0,10,0,1457,72.79999995231628,0.04999999996725019,9.534286049841754e-08,True,False,True,21.100194931,True,23.3003635406,True,42.7002258301,2.2001686095999986,0.0,92.3087539673,0.0,1.0,-0.382512927055,0.186371609569,-813.981933594,True,27.1997432709,False,USABLE_FULL,NONE
density_10_nback_1_id_5,5,density_10_nback_1,10,1,1529,76.40000009536743,0.050000000062413244,9.541420967550706e-08,True,False,True,26.049654007,True,28.6995182037,True,46.3000259399,2.6498641966999976,0.0,280.941375732,0.0,1.0,-0.193191558123,0.242568060756,-978.815673828,True,33.7498893738,False,USABLE_FULL,NONE
density_10_nback_2_id_5,5,density_10_nback_2,10,2,1548,77.34999990463257,0.04999999993835331,9.532116547477078e-08,True,False,True,26.9501018524,True,29.5502166748,True,47.2501945496,2.600114822400002,0.0,90.5481414795,0.0,1.0,-0.254552662373,0.265578478575,-778.209106445,True,35.0498352051,False,USABLE_FULL,NONE
density_20_nback_0_id_5,5,density_20_nback_0,20,0,2175,108.70000004768372,0.05000000002193363,9.538387792421182e-08,True,False,True,48.5999717712,True,50.2495574951,True,78.549987793,1.649585723899996,0.0,148.550521851,0.0,1.0,-0.27756306529,0.412988901138,-1040.22509766,True,65.0500183105,False,USABLE_FULL,NONE
density_20_nback_1_id_5,5,density_20_nback_1,20,1,3760,187.95000004768372,0.05000000001268521,9.537694423232441e-08,True,False,True,24.100276947,True,26.2999382019,True,157.850021362,2.1996612549000005,0.0,322.637695312,0.0,1.0,-0.380390822887,0.423775047064,-1531.51220703,True,35.5999832153,False,USABLE_FULL,NONE
density_20_nback_2_id_5,5,density_20_nback_2,20,2,2124,106.15000009536743,0.05000000004492107,9.540110591831464e-08,True,False,True,49.1502609253,True,51.2002105713,True,76.0003890991,2.0499496459999946,0.0,260.093231201,0.0,1.0,-0.443429768085,0.844194412231,-922.605895996,True,64.9999847412,False,USABLE_FULL,NONE
density_0_nback_0_id_6,6,density_0_nback_0,0,0,1447,72.29999995231628,0.04999999996702371,9.534269051229117e-08,True,False,True,29.4499454498,True,31.6499767303,True,42.1501617432,2.2000312804999993,0.0,75.7100830078,0.0,1.0,-0.368166536093,0.374638229609,-840.661987305,True,36.7500419617,False,USABLE_FULL,NONE
density_0_nback_1_id_6,6,density_0_nback_1,0,1,1730,86.45000004768372,0.05000000002757878,9.538810949848435e-08,True,False,True,34.1993103027,True,37.3001098633,True,56.3001213074,3.1007995606000023,0.0,328.983062744,0.0,1.0,-0.337679505348,0.363852083683,-863.837280273,True,43.7001075745,False,USABLE_FULL,NONE
density_0_nback_2_id_6,6,density_0_nback_2,0,2,1472,73.54999995231628,0.04999999996758415,9.534311114263982e-08,True,False,True,31.6995048523,True,32.8003044128,True,43.4493789673,1.100799560500004,0.0,74.5367889404,0.0,1.0,-0.23779925704,0.187438964844,-908.594238281,True,35.8503227234,False,USABLE_FULL,NONE
density_10_nback_0_id_6,6,density_10_nback_0,10,0,1323,66.09999990463257,0.04999999992786125,9.531328492040148e-08,True,False,True,21.199848175,True,23.1498718262,True,35.9498939514,1.9500236511999987,0.0,83.5775527954,0.0,1.0,-1.56645166874,2.25309991837,-741.516845703,True,27.2498836517,False,USABLE_FULL,NONE
