cell,n_trials,tor_to_ms_s,ms_to_steer_onset_s,steer_onset_to_indicator_s,steer_onset_to_lane_crossing_s,ms_to_lane_crossing_s,lane_crossing_to_manual_stop_s,ms_to_manual_stop_s,ms_to_indicator_s,indicator_to_lane_crossing_s,ms_to_excursion_start_s
d0_n0,56,1.2500381469999997,1.8494153022674311,-0.47499990463256836,2.0002853870837143,3.8244018555000032,9.8500156403,13.425607681299999,1.5498929023674322,2.600308895132571,0.7496528624999996
d0_n1,57,1.949859619199998,2.1001465320837127,-0.4500000476837158,2.9005546570000007,5.150455474899999,12.800029754599997,18.550067901600002,1.924929380416284,3.425202965741857,1.1004440784837186
d0_n2,54,1.5749769210499984,1.4751842021662824,-0.20000004768371582,2.250228881849999,3.850059509299996,10.574731826799997,14.57450675965,1.5997047424000002,2.4001908302674337,0.17541193961628565
d10_n0,53,1.4500312805000029,1.5997824669325666,-0.19999992847442627,2.2999980450162845,4.1997470855999985,11.049842834400003,16.4505195618,1.7752615213418572,2.4747864007918583,0.8001079558999997
d10_n1,57,1.7999668120999992,2.650479078316284,-0.15000009536743164,2.5501155853499995,5.3995819092,11.625270843499997,17.049833297699998,2.7498221397325686,2.650137424467431,0.6497092247325682
d10_n2,57,1.749042510999999,2.4996860027162846,-0.8500000238418579,2.2501730919325666,5.099821090700001,12.2003593445,17.5000991821,1.5749605893755732,3.1997311115337155,1.2497692108000003
d20_n0,50,1.1504230499499997,2.924858093300003,-0.39999985694885254,2.3997993468999965,5.4998779296999984,12.449333191000001,17.824800491400005,2.8999352454674323,2.774779438974427,1.0995327233918566
d20_n1,51,1.5506973266000017,2.2497069835162833,-0.25,3.3245967626581425,5.5750112533500005,12.975182533250003,22.199642181399998,3.1500990390837167,3.599232435216283,0.9497904777325701
d20_n2,57,1.8000259398999958,2.599786281632568,-0.15000009536743164,2.5998450517744267,5.200315475450001,11.524688720650005,20.7004470826,2.425334930449999,3.400076746975575,1.249660491900002
