population,outcome,cell_controls,n_trials,n_participants,exposure_slope_per_trial,se_cluster,ci95_low,ci95_high,p_value
all,ms_to_steer_onset_s,True,491,57,0.0010597192306544267,0.023009750448399327,-0.04503434979810718,0.04715378825941603,0.9634300799981744
all,ms_to_steer_onset_s,False,491,57,0.013130227343399005,0.026756064539158443,-0.04046861061756481,0.06672906530436282,0.6255290691419102
exclude_exposure_1,ms_to_steer_onset_s,True,434,57,-0.01782182589669009,0.0324270239943243,-0.08278096075317748,0.04713730895979731,0.5847804130412868
exclude_exposure_1,ms_to_steer_onset_s,False,434,57,-0.0031652081281741545,0.03615042017752799,-0.07558320183125793,0.06925278557490962,0.9305414383623699
all,steer_onset_to_lane_crossing_s,True,477,57,0.1357972655954549,0.10684032307776097,-0.07822962000877784,0.3498241511996877,0.20897239669267753
all,steer_onset_to_lane_crossing_s,False,477,57,0.11989456873588752,0.11539984117368719,-0.11127909205181985,0.3510682295235949,0.3032935697602421
exclude_exposure_1,steer_onset_to_lane_crossing_s,True,422,57,0.19376916401514677,0.1229678859741316,-0.05256511227887575,0.44010344030916926,0.12071176328777194
exclude_exposure_1,steer_onset_to_lane_crossing_s,False,422,57,0.17962645646765826,0.13105851777437982,-0.08291530288982699,0.44216821582514354,0.17597425407964024
