participant_id,ms_to_steer_onset_s_count,ms_to_steer_onset_s_median,steer_onset_to_lane_crossing_s_count,steer_onset_to_lane_crossing_s_median,ms_to_indicator_s_count,ms_to_indicator_s_median
1,7,1.9002423286674315,7,2.5491309166325706,7,3.800073146832567
2,9,1.5499801635999972,9,2.400434017132568,9,1.0490608214999995
3,8,1.4502069950337155,8,2.949868440633715,8,0.1001039743418577
4,9,1.0504355430325703,9,2.1501393318674324,1,2.349608659783719
5,9,2.2000617980999984,9,2.849835157416287,9,1.7500617504162825
6,8,1.3748717308174303,8,3.8251132964999996,4,5.2750002145918575
7,9,1.899748563816285,9,2.649556636832571,9,1.9497485161325692
8,9,0.6997725963162864,8,1.9251209497918573,1,1.9002971648999996
9,8,3.7497816085999993,8,3.525444865225573,7,2.9000098705162856
10,9,3.2004616260837153,9,2.799536228167433,9,4.049277543983713
11,8,2.3250664472755744,8,2.025131344774424,8,1.7247347831825675
12,9,2.1495113373000017,9,2.249717712399999,9,1.4007346630162836
13,8,1.9999357461918574,8,2.149521946924427,8,2.0251979828
14,6,0.9248588085162837,6,1.7998924255499986,0,
15,7,2.5998473167325713,5,3.200200557732572,7,2.1498475074674346
16,9,3.2507252693674324,9,1.6001579761837164,9,2.9999046326
17,9,2.1997935772162833,9,2.049851894332569,9,1.3507187366837172
18,9,2.1001465320837127,9,2.7002303600162847,8,2.8500381708418576
19,9,1.8499877453162838,9,2.5501334667162823,9,1.2994315624162809
20,9,2.0997252464325697,8,2.1254278421418586,2,4.72492599485
21,9,1.4491691588999984,9,2.1498808860325695,9,1.7003226280325663
22,9,3.0497906207837175,8,2.1000019311918567,9,1.5003197192837163
23,9,2.2493109703325693,9,2.1500258445325713,9,1.3493111133837168
24,9,0.9001834392162849,8,2.1748113632,0,
25,9,1.9006545544162847,8,2.5247720480081437,9,1.5506107806837157
26,9,2.3500487804162837,9,2.3499233722837154,9,2.400048732732568
27,8,1.6250803470837152,8,2.1999576091662867,5,1.0503304004837162
28,9,0.9497723579674329,9,3.050785779916282,6,3.6997126340755724
29,9,0.6998794079162849,9,2.450695037799999,1,5.850401639916285
30,9,3.2996764183325666,9,2.100516796132567,9,1.8994088172674317
31,7,2.4998717308325666,7,3.099404096616283,7,1.800591230416284
32,9,0.9501030444837184,9,2.1005744934000035,0,
33,9,2.299934387199997,9,2.299325466132565,9,1.8502445220999988
34,9,1.0499031543837134,9,2.000124692916284,1,1.199903011332566
35,8,1.4996058941162822,8,2.149879097941856,8,1.7500673532418567
36,7,2.9499111175999992,7,2.2503089905000024,3,2.599911212967431
37,8,3.4998341798744264,7,2.950094699867435,8,1.9746135473081434
38,9,2.350514173516281,8,3.3998180627418577,8,1.9999197721755735
39,9,3.8008415698837155,9,3.199965715383719,5,6.100422620816282
40,9,2.6996276378162847,9,2.100264787683713,0,
41,9,2.4007956981162835,9,3.000125169783715,8,1.2998437881499996
42,8,2.2493658065499993,7,3.300612688083717,7,3.0496490002162844
43,9,2.100484371232568,9,3.4002106189837136,9,3.149791717500001
44,9,2.1994972229,8,2.875417947783717,9,2.79994249346743
45,9,2.8009810447325663,9,2.7497017383837132,6,2.2502975463499997
46,9,1.150236845016284,9,2.149346113216282,6,1.9001432656918578
47,9,1.6998553276325694,9,3.050518751116286,9,1.8496913910000004
48,8,4.299944877649999,7,7.099819898616282,8,3.749895453458141
49,9,2.69938039783257,8,3.124958038349998,6,2.374738335641858
50,8,2.550307512283716,8,2.599594831466284,8,2.2751688957325698
51,9,2.9002547264325678,9,3.4501464367162846,3,0.10023379321628312
52,9,2.5008919238837173,9,2.649554491083716,8,2.8500552177325673
53,9,1.9998779296999984,9,2.1991744041325703,9,1.2496542930325703
54,9,2.549836635632566,9,2.6500167847,5,4.300469160116286
55,9,3.8500053882837157,9,2.2999980450162845,8,2.7996180057337163
56,9,2.2505378723000007,8,2.5249874591837163,9,2.149154663099999
57,9,1.8498604297837176,9,1.9000039100674329,0,
