interval,from,to,n,missing,median_s,q25_s,q75_s,p05_s,p95_s,participant_icc1,cell_eta2,between_participant_sd,within_participant_sd
tor_to_ms_s,TOR,Manual_Start,492,0,1.6499290466000005,1.2501821518000025,1.9999299049499975,0.6499379157999993,2.922539806359999,0.12797340739769048,0.14188579044367278,0.3635340822199362,0.7142336035873834
ms_to_steer_onset_s,Manual_Start,steering onset (primary),491,1,2.0997653007325674,1.2994495630418577,3.125028252591859,0.7508227825162841,5.424907326741856,0.18816608358984227,0.07841450700226288,0.9377596403912051,1.5774182996305248
steer_onset_to_indicator_s,steering onset,left-indicator onset,365,127,-0.35000014305114746,-0.8500001430511475,0.6000001430511475,-3.430000066757202,4.130000066757203,0.1372799432794262,0.04548198372394282,1.4646655519617298,2.31052625996408
steer_onset_to_lane_crossing_s,steering onset,lane crossing,477,15,2.449683427783718,2.000124692916284,3.2995827197837144,1.5002933025502287,8.51993412968371,0.05971848012280017,0.11257153010301811,2.5647797320792134,6.133857770400809
ms_to_lane_crossing_s,Manual_Start,lane crossing,478,14,4.800114631649997,3.7503533363250003,5.937623023975,2.7849507331699987,12.179293251084996,0.09054470918890087,0.11748727239106582,2.992484354140734,6.5380398263854165
lane_crossing_to_manual_stop_s,lane crossing,Manual_Stop,478,14,11.800067901550001,8.962679862975,15.037921905525002,5.377595806130003,25.605329704094974,0.2771641466178465,0.019649588652570427,5.421917235383787,7.6720720646594245
ms_to_manual_stop_s,Manual_Start,Manual_Stop,492,0,16.9498672485,13.55074834825,22.400021076199998,9.632252311690001,38.372589588195,0.2770737541279163,0.08512328526344475,7.106659744649461,10.146728705908602
ms_to_indicator_s,Manual_Start,left-indicator onset,366,126,2.025110006316284,1.3995674252709298,3.2001581191674306,0.10020375249128488,6.52469617124593,0.17832646706680155,0.08411169352575872,1.4298507550369357,2.144945990416886
indicator_to_lane_crossing_s,left-indicator onset,lane crossing,354,138,2.7998180389,2.2994472980337175,3.8497325778040725,1.0501117229737138,9.617525815961285,0.12423987538634415,0.12934640796814495,3.9172645060707536,6.772966590291143
ms_to_excursion_start_s,Manual_Start,start of the primary excursion (secondary),491,1,0.8500487804162837,0.24971306327442377,1.5497686862837146,0.04933083057442644,3.9748382567999982,0.12307194213561536,0.06396281533652212,0.6628518880020347,1.304066220980716
