detector,primary,n,missing,median_s,q25_s,q75_s,fraction_after_lane_crossing,participant_icc1,cell_eta2,min_cell_iqr_s
angle_rise_0.02_s5,False,492,0,1.4249961376162847,0.9996983408965043,2.1499806642494246,0.0,0.2247846657466691,0.04348560630827213,0.5491530895162846
angle_rise_0.05_s5,True,491,1,2.0997653007325674,1.2994495630418577,3.125028252591859,0.016771488469601678,0.18816608358984227,0.07841450700226288,1.0506362914999983
angle_rise_0.10_s5,False,477,15,2.9998252392162854,1.8999130725837148,4.549657344832568,0.13174946004319654,0.25401080010841287,0.03266694450165181,1.400696277667432
angle_signed_0.05_s5,False,475,17,2.3500487804162837,1.299653649341856,3.4997612237918574,0.004338394793926247,0.17588915888089154,0.10401300712528647,1.163512825916861
angle_abs_0.05_s1,False,492,0,2.000353574716284,1.1499097347162817,3.1631367206337178,0.012552301255230125,0.15615485134278426,0.09155475900662459,1.163512825916861
rate_signed_0.10_s3,False,487,5,1.949970245400003,1.1500383615418581,3.20010375975,0.046511627906976744,0.09004379952423505,0.03473502689431302,1.2499570846348647
