trial_id,participant_id,density,nback,cell,record_start_epoch,record_end_epoch,tor_state,n_raw_tor_values,TOR_ANCHORED,OWNER_WINDOW_ELIGIBLE,LANE_CHANGE_ANCHORED,MANUAL_WINDOW_ELIGIBLE,lane_change_state,lane_change_vs_handback,handback_state,t_button_s,tor_to_lane_change_s,min_ttc_s,vehicle_max_decel_mps2,vehicle_max_accel_mps2,tor_to_handback_s,manual_start_to_handback_s,lane_change_to_handback_s,exposure,gap_from_previous_trial_min
density_10_nback_1_id_1,1,10,1,d10_n1,1697441334.0,1697441412.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.500343322700001,6.899547576900002,4.47550201416,11.5595588684,0.258344680071,22.5004386901,21.0000953674,15.6008911132,1,
density_10_nback_2_id_1,1,10,2,d10_n2,1697441802.0,1697441878.8,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.299533843900001,4.799474716100001,4.07742023468,3.61215901375,-0.388805299997,19.8003578186,17.500823974699998,15.000883102499998,2,6.488333332538605
density_10_nback_0_id_1,1,10,0,d10_n0,1697442344.0,1697442419.9,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8509464264000002,4.399999618599999,3.54659509659,10.371008873,-0.301758229733,24.6010379791,23.7500915527,20.2010383605,3,7.753333334128062
density_20_nback_0_id_1,1,20,0,d20_n0,1697442634.0,1697442739.3,MISSING_TOR_COLUMN,0,False,False,False,False,VALIDATED,NO_TOR_ANCHOR,SINGLE,,,,,,,27.499267578100003,,4,3.5683333317438763
density_20_nback_1_id_1,1,20,1,d20_n1,1697443053.0,1697443133.6,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.9991703032999979,12.300006866399997,5.98367214203,12.0473508835,2.75679564476,26.399868011399995,25.400697708099997,14.099861144999998,5,5.228333334128062
density_0_nback_2_id_1,1,0,2,d0_n2,1697443410.0,1697443489.2,MISSING_TOR_COLUMN,0,False,False,False,False,VALIDATED,NO_TOR_ANCHOR,SINGLE,,,,,,,18.0999679565,,6,4.606666668256124
density_0_nback_1_id_1,1,0,1,d0_n1,1697443692.0,1697443777.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6507148741999984,10.8006210327,3.37400507927,8.43417167664,4.74715805054,20.9504699707,19.2997550965,10.149848937999998,7,3.3799999992052716
density_20_nback_2_id_1,1,20,2,d20_n2,1697444012.0,1697444115.85,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.8498687744000009,13.2500419617,1.7142829895,11.4264945984,5.3566532135,24.4993057251,22.6494369507,11.249263763400002,8,3.9116666674613954
density_0_nback_0_id_1,1,0,0,d0_n0,1697444357.0,1697444431.45,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.2991638182999985,5.049386978099999,3.58629107475,8.33090019226,0.189552724361,14.850187301599998,13.5510234833,9.800800323499999,9,4.019166668256124
density_0_nback_1_id_2,2,0,1,d0_n1,1697448732.0,1697448803.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,1.5492820739000024,6.2998046875,3.19144010544,0.548921585083,0.32598015666,6.9998588561999995,5.450576782299997,0.7000541686999995,1,
density_0_nback_0_id_2,2,0,0,d0_n0,1697449162.0,1697449228.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,1.850564956600003,5.950031280500003,2.36789894104,2.7688639164,0.145696535707,7.3500900268,5.499525070199997,1.4000587462999974,2,5.978333334128062
density_0_nback_2_id_2,2,0,2,d0_n2,1697449459.0,1697449537.65,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.950458526600002,5.799953460600001,1.62840497494,1.39629483223,0.220004379749,16.7995071411,14.8490486145,10.9995536805,3,3.834166665871938
density_20_nback_2_id_2,2,20,2,d20_n2,1697449741.0,1697449832.6,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.9993705748999986,5.750343322699997,1.69127202034,2.11658620834,3.07914090157,12.300308227499997,10.300937652599998,6.5499649047999995,4,3.3891666650772097
density_10_nback_0_id_2,2,10,0,d10_n0,1697450505.0,1697450568.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.7006969452000007,5.200420379699999,2.58954405785,1.34847581387,0.0912267640233,11.850093841600003,10.149396896400003,6.649673461900004,5,11.206666668256124
