trial_id,participant_id,density,nback,cell,record_start_epoch,record_end_epoch,tor_state,n_raw_tor_values,TOR_ANCHORED,OWNER_WINDOW_ELIGIBLE,LANE_CHANGE_ANCHORED,MANUAL_WINDOW_ELIGIBLE,lane_change_state,lane_change_vs_handback,handback_state,t_button_s,tor_to_lane_change_s,min_ttc_s,vehicle_max_decel_mps2,vehicle_max_accel_mps2,tor_to_handback_s,manual_start_to_handback_s,lane_change_to_handback_s,exposure,gap_from_previous_trial_min
density_20_nback_1_id_2,2,20,1,d20_n1,1697450689.0,1697450756.9,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.0000381468999997,5.8000946045,3.71493196487,10.3717336655,2.30123972893,13.699863433800001,11.699825286900001,7.899768829300001,6,2.015000001589457
density_10_nback_1_id_2,2,10,1,d10_n1,1697450932.0,1697451001.75,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.8508834838999988,6.099990844799997,3.03468489647,6.6254992485,0.124444440007,13.550052642899999,11.699169159,7.450061798100002,7,2.918333331743876
density_20_nback_0_id_2,2,20,0,d20_n0,1697451188.0,1697451281.2,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6995506287000026,6.499439239499999,2.59409093857,4.63708019257,1.73246991634,14.4000587464,12.700508117699997,7.9006195069,8,3.1041666666666665
density_10_nback_2_id_2,2,10,2,d10_n2,1697451434.0,1697451504.05,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.8999748230000009,6.299961090100002,3.06902694702,4.02153968811,0.266808450222,12.999305725099997,11.099330902099997,6.699344634999996,9,2.546666665871938
density_20_nback_0_id_3,3,20,0,d20_n0,1697456194.0,1697456299.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,1.5004653931000007,22.7004508972,0.746950984001,11.4387779236,3.09977459908,26.50059890749999,25.00013351439999,3.800148010299992,1,
density_20_nback_1_id_3,3,20,1,d20_n1,1697456951.0,1697457017.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.6497688293999992,7.399723052999999,3.27611398697,11.3090219498,2.28733277321,12.499431610100004,11.849662780700005,5.099708557100005,2,10.861666667461396
density_10_nback_2_id_3,3,10,2,d10_n2,1697457505.0,1697457577.25,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.34967613219999905,8.199913024899999,2.79961395264,8.12799739838,1.22978794575,15.1501312256,14.8004550934,6.9502182007,3,8.121666665871938
density_20_nback_2_id_3,3,20,2,d20_n2,1697458482.0,1697458572.45,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.7001190185999988,6.599918365499995,0.913424015045,3.04174804688,3.12618398666,11.149772644099997,9.449653625499998,4.549854278600002,4,15.079166666666667
density_10_nback_1_id_3,3,10,1,d10_n1,1697458771.0,1697458839.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.8502769469999976,6.600263595599998,2.15124607086,9.028216362,0.546798288822,12.549871444699995,9.699594497699998,5.949607849099998,5,3.309166665871938
density_0_nback_0_id_3,3,0,0,d0_n0,1697459001.0,1697459069.55,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.6002902984000009,4.899396896300001,2.49278998375,1.06800448895,0.250836014748,8.999696731499998,8.399406433099998,4.100299835199998,6,2.6883333325386047
density_10_nback_0_id_3,3,10,0,d10_n0,1697459286.0,1697459347.6,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.9997444153000004,5.349985122699998,2.65151309967,1.43491005898,-0.298798471689,10.399747848499999,8.400003433199998,5.049762725800001,7,3.6075000007947287
density_0_nback_1_id_3,3,0,1,d0_n1,1697459650.0,1697459728.9,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2510375976000034,6.900863647400001,3.33133006096,0.545880615711,-0.0970422998071,14.600997924800005,12.349960327200002,7.700134277400004,8,5.0400000015894575
density_0_nback_2_id_3,3,0,2,d0_n2,1697459902.0,1697459977.5,MISSING_TOR_COLUMN,0,False,False,False,False,VALIDATED,NO_TOR_ANCHOR,SINGLE,,,,,,,14.750484466500001,,9,2.8849999984105428
density_0_nback_2_id_4,4,0,2,d0_n2,1697873843.0,1697873922.15,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.3998394012000013,3.8999958037999995,3.44573903084,0.435666888952,-0.217752099037,17.2995700836,16.899730682399998,13.3995742798,1,
density_0_nback_1_id_4,4,0,1,d0_n1,1697874330.0,1697874409.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,3.100044250499998,6.949630737299998,3.27011609077,0.550861775875,-0.0045305644162,15.400028228700002,12.299983978200004,8.450397491400004,2,6.797499998410543
density_10_nback_0_id_4,4,10,0,d10_n0,1697874737.0,1697874798.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2994575501000014,5.349437713700002,2.70977711678,1.54854404926,-0.291087150574,10.0489196778,7.749462127699999,4.6994819640999985,3,5.454999999205271
density_0_nback_0_id_4,4,0,0,d0_n0,1697875848.0,1697875919.85,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8996620177999972,4.100028991699997,3.34053993225,1.64345860481,0.179009959102,12.2505950927,11.350933074900002,8.150566101000003,4,17.49500000079473
density_10_nback_1_id_4,4,10,1,d10_n1,1697876212.0,1697876280.0,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,3.7498664855999984,5.899873733499998,2.91204094887,9.19134521484,1.22698748112,11.8498516083,8.099985122700001,5.949977874800002,5,4.869166668256124
density_20_nback_2_id_4,4,20,2,d20_n2,1697876569.0,1697876661.45,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.8004112242999994,5.150611877400003,1.98686003685,1.97579789162,3.05090045929,13.150318145699998,11.349906921399999,7.999706268299995,6,4.816666666666666
density_10_nback_2_id_4,4,10,2,d10_n2,1697876931.0,1697876999.8,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.4500751496,5.699995040900003,2.62992596626,3.10039520264,-0.297358781099,11.800359726,9.3502845764,6.100364685099997,7,4.492499999205271
density_20_nback_1_id_4,4,20,1,d20_n1,1697877206.0,1697877287.9,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.0999393463999994,7.0998516083,3.00567698479,10.3115625381,2.29565644264,27.700037002600002,25.600097656200003,20.600185394300002,8,3.4366666674613953
density_20_nback_0_id_4,4,20,0,d20_n0,1697877578.0,1697877672.45,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.7001953125,3.549991607700001,3.58638191223,0.351333081722,0.248858556151,15.650127410900005,14.949932098400005,12.100135803200004,9,4.8349999984105425
density_10_nback_1_id_5,5,10,1,d10_n1,1697469666.0,1697469742.4,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.6498641966999976,7.700235366800001,2.78003311157,9.43689537048,0.211416974664,20.250371932900002,17.600507736200004,12.5501365661,1,
density_10_nback_2_id_5,5,10,2,d10_n2,1697470118.0,1697470195.35,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.600114822400002,8.099733352700003,1.38904905319,3.81442952156,0.0323051735759,20.300092697200004,17.699977874800002,12.2003593445,2,6.259999998410543
density_10_nback_0_id_5,5,10,0,d10_n0,1697470364.0,1697470436.8,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2001686095999986,6.0995483399,2.03674292564,1.50631594658,-0.140283659101,21.600030899100002,19.399862289500003,15.500482559200002,3,2.8108333349227905
density_20_nback_0_id_5,5,20,0,d20_n0,1697470683.0,1697470791.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.649585723899996,16.45004653929999,1.52995705605,6.28911972046,1.84485006332,29.950016021799996,28.3004302979,13.499969482500006,4,4.103333334128062
density_0_nback_2_id_5,5,0,2,d0_n2,1697470944.0,1697471030.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.8000087737999984,6.650167465200003,3.85477209091,5.31436729431,0.446146398783,25.0500087738,23.25,18.399841308599996,5,2.538333332538605
density_20_nback_1_id_5,5,20,1,d20_n1,1697471231.0,1697471418.95,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.1996612549000005,11.499706268299999,5.56613397598,10.3111858368,3.11201334,133.749744415,131.5500831601,122.2500381467,6,3.334166665871938
density_0_nback_1_id_5,5,0,1,d0_n1,1697471627.0,1697471711.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.400051116900002,7.550506591800001,2.50110697746,0.871745228767,0.940197408199,20.3505363464,17.950485229499996,12.800029754599997,7,3.4674999992052715
density_20_nback_2_id_5,5,20,2,d20_n2,1697471884.0,1697471990.15,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.0499496459999946,15.849723815899992,2.47045707703,8.89295482635,3.09404802322,26.8501281738,24.800178527800007,11.00040435790001,8,2.871666665871938
density_0_nback_0_id_5,5,0,0,d0_n0,1697472127.0,1697472192.85,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,1.9499683380000015,4.750078201299999,2.96734499931,2.19825577736,0.256751924753,6.300081253000002,4.350112915,1.5500030517000027,9,2.2808333317438763
density_0_nback_1_id_6,6,0,1,d0_n1,1697528698.0,1697528784.45,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,3.1007995606000023,9.500797271800003,3.78737711906,10.6031847,6.56461000443,22.1008110047,19.000011444099997,12.600013732899995,1,
density_0_nback_0_id_6,6,0,0,d0_n0,1697529386.0,1697529458.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2000312804999993,7.300096511899998,0.278250992298,2.22925424576,0.625244498253,12.7002162934,10.500185012900001,5.400119781500003,2,10.025833332538605
density_0_nback_2_id_6,6,0,2,d0_n2,1697529936.0,1697530009.55,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.100799560500004,4.150817871099999,2.85495591164,1.65233027935,1.69269156456,11.749874115,10.649074554499997,7.599056243900002,3,7.961666667461396
density_20_nback_2_id_6,6,20,2,d20_n2,1697531051.0,1697531143.95,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.349647522000005,6.199756622300001,2.81031107903,8.86293888092,0.0277627762407,25.0001182556,23.650470733599995,18.8003616333,4,17.35750000079473
density_10_nback_0_id_6,6,10,0,d10_n0,1697531899.0,1697531965.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,MULTI_FIRST_TAKEN_AS_END_OF_FIRST_MANUAL_EPISODE,1.9500236511999987,6.0500354767,2.07120203972,1.6220369339,-0.29792752862,14.7500457764,12.800022125200002,8.7000102997,5,12.584166665871939
density_20_nback_1_id_6,6,20,1,d20_n1,1697532198.0,1697532276.4,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.3498344421000006,6.8506946563,2.12009501457,9.21671962738,3.71381592751,24.249902725200002,22.9000682831,17.399208068900002,6,3.881666668256124
density_10_nback_1_id_6,6,10,1,d10_n1,1697532520.0,1697532597.05,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6998596192000015,10.449718475400001,1.63356494904,11.3304414749,6.26757240295,20.8500404358,19.1501808166,10.4003219604,7,4.059999998410543
density_20_nback_0_id_6,6,20,0,d20_n0,1697532884.0,1697532984.6,MISSING_TOR_COLUMN,0,False,False,False,False,VALIDATED,NO_TOR_ANCHOR,SINGLE,,,,,,,22.050029754599997,,8,4.7825000007947285
density_10_nback_2_id_6,6,10,2,d10_n2,1697533297.0,1697533369.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.500162124700001,7.999931335500001,3.24511909485,11.6615819931,5.06627750397,15.049903869700003,13.549741745000002,7.049972534200002,9,5.206666668256124
density_0_nback_2_id_7,7,0,2,d0_n2,1697535759.0,1697535837.2,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.4004859924000037,6.500579834000003,1.1987169981,1.28036952019,-0.160007283092,16.350284576400004,13.949798584,9.8497047424,1,
density_10_nback_0_id_7,7,10,0,d10_n0,1697536054.0,1697536121.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.5503368377000015,5.850324630700001,1.87805998325,1.26941168308,0.111201353371,15.850353240899999,14.300016403199997,10.000028610199998,2,3.6133333325386046
density_0_nback_1_id_7,7,0,1,d0_n1,1697536290.0,1697536375.55,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.900688171399999,7.350669860899998,2.73172307014,1.03025627136,0.817001998425,21.200592041100002,18.299903869700003,13.849922180200004,3,2.8150000015894574
density_10_nback_1_id_7,7,10,1,d10_n1,1697536536.0,1697536610.05,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.5495491028000004,7.099395752000003,1.62728202343,8.70481109619,0.513163268566,17.8500175476,15.3004684448,10.750621795599997,4,2.674166667461395
density_0_nback_0_id_7,7,0,0,d0_n0,1697536787.0,1697536863.4,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8998355865000001,4.949960708600003,2.43168091774,1.5951513052,0.241175383329,16.8497676849,15.949932098400001,11.899806976299999,5,2.9491666674613954
density_10_nback_2_id_7,7,10,2,d10_n2,1697536999.0,1697537075.0,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.200241088800002,8.000030517599999,2.67103505135,6.39165830612,1.54165947437,18.9492263794,16.748985290599997,10.9491958618,6,2.2599999984105428
density_20_nback_2_id_7,7,20,2,d20_n2,1697537230.0,1697537324.25,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6500740051000022,5.899543762200004,1.20496404171,1.75692403316,3.09126830101,14.999217987000002,13.3491439819,9.099674224799998,7,2.5833333333333335
density_20_nback_0_id_7,7,20,0,d20_n0,1697537489.0,1697537586.35,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8508987426000019,6.3507766723,1.91402494907,4.63862514496,1.15640449524,18.600734710700003,17.7498359681,12.249958038400003,8,2.745833333333333
density_20_nback_1_id_7,7,20,1,d20_n1,1697538400.0,1697538470.75,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.3496818542,6.249542236300002,2.99621701241,9.29166316986,2.27606487274,16.550210952800004,15.200529098600004,10.300668716500002,9,13.56083333492279
density_0_nback_0_id_8,8,0,0,d0_n0,1697542439.0,1697542522.8,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6005420685000011,3.9508132935000013,3.56219100952,2.14173316956,0.184128090739,24.2008285523,22.600286483799998,20.250015258799998,1,
density_20_nback_2_id_8,8,20,2,d20_n2,1697542861.0,1697542969.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6500701904999957,4.0000686646000005,3.0341489315,2.52008080482,3.02155637741,28.7500839234,27.100013732900003,24.750015258799998,2,5.636666667461395
density_0_nback_1_id_8,8,0,1,d0_n1,1697543229.0,1697543317.4,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.800125122099999,4.849224090599996,4.05991220474,1.27801263332,1.37235021591,24.0502510071,22.250125885000003,19.201026916500005,3,4.331666668256124
density_20_nback_1_id_8,8,20,1,d20_n1,1697543711.0,1697543785.25,MULTI_RESOLVED_BY_PROTOCOL_TTC,2,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.7502937316999976,4.6003913879999985,4.97216415405,10.2799491882,2.29826903343,20.0998687744,18.349575042700003,15.499477386400002,4,6.559999998410543
density_0_nback_2_id_8,8,0,2,d0_n2,1697544060.0,1697544143.2,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.5008773802999968,4.05078125,3.33497405052,0.78949713707,-0.15637652576,21.250663757299996,19.749786377,17.199882507299996,5,4.579166666666667
density_20_nback_0_id_8,8,20,0,d20_n0,1697544358.0,1697544463.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.4993553161000008,6.150100708000004,3.23472309113,11.3200883865,1.66425311565,27.200134277299995,25.700778961199994,21.05003356929999,6,3.5799999992052713
density_10_nback_0_id_8,8,10,0,d10_n0,1697544688.0,1697544754.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.4496345519999991,4.699142455999997,2.94235992432,1.39130103588,0.283561676741,15.698984146099999,14.2493495941,10.999841690100002,7,3.734166665871938
density_10_nback_2_id_8,8,10,2,d10_n2,1697545061.0,1697545145.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6499328613000017,3.6999378204000024,4.06748199463,1.20872294903,-0.30763348937,27.2500114441,25.6000785828,23.550073623699998,8,5.100833332538604
density_10_nback_1_id_8,8,10,1,d10_n1,1697545339.0,1697545421.25,SINGLE,1,True,False,False,True,CLOCK_EXCEPTION,LANE_CHANGE_CLOCK_EXCEPTION,SINGLE,1.9994449615999983,,,,,26.049993514999997,24.0505485534,,9,3.228333334128062
density_20_nback_2_id_9,9,20,2,d20_n2,1699281377.0,1699281496.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.4000015258000005,35.099967956499995,2.8720369339,6.61578702927,3.13333487511,45.9502944946,44.5502929688,10.850326538100006,1,
density_0_nback_0_id_9,9,0,0,d0_n0,1699281707.0,1699281781.35,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2999286651999995,5.7001953125000036,2.36370801926,2.21270608902,0.162728771567,14.800029754700002,12.500101089500003,9.099834442199999,2,3.5049999992052716
density_20_nback_1_id_9,9,20,1,d20_n1,1699281930.0,1699282012.0,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.4499797821000016,6.2502899170000035,5.64299297333,9.64453697205,1.11775720119,23.2500228882,21.8000431061,16.999732971199997,3,2.477500001589457
density_0_nback_1_id_9,9,0,1,d0_n1,1699282119.0,1699282201.05,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6998786925999951,7.349967956499995,3.07851099968,0.540995419025,-0.316616117954,17.700305938699998,16.000427246100003,10.350337982200003,4,1.7833333333333334
density_20_nback_0_id_9,9,20,0,d20_n0,1699282306.0,1699282400.3,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8999900817999986,7.099918365499995,1.57481896877,8.04350471497,1.05259025097,15.549964904799992,14.649974822999994,8.450046539299997,5,1.7491666674613953
density_0_nback_2_id_9,9,0,2,d0_n2,1699282502.0,1699282577.3,MISSING_TOR_COLUMN,0,False,False,False,False,VALIDATED,NO_TOR_ANCHOR,SINGLE,,,,,,,13.649953842099997,,6,1.6950000007947286
density_10_nback_2_id_9,9,10,2,d10_n2,1699282708.0,1699282783.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.6503200530999997,7.500083923400002,1.7034239769,6.59634923935,0.48217022419,18.899974822999997,17.249654769899998,11.399890899599995,7,2.178333334128062
density_10_nback_0_id_9,9,10,0,d10_n0,1699282903.0,1699282976.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.5000686646000005,10.850231170699995,1.38714897633,6.32677841187,2.79325246811,21.9000740051,20.400005340499998,11.049842834400003,8,1.9841666658719381
density_10_nback_1_id_9,9,10,1,d10_n1,1699283076.0,1699283155.15,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.7999668120999992,9.299974441500002,4.24896383286,10.2712535858,1.9412817955,22.9498996734,21.1499328613,13.6499252319,9,1.6650000015894573
density_10_nback_0_id_10,10,10,0,d10_n0,1699705093.0,1699705169.1,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.399745941199999,9.549940109200001,0.282546013594,4.27691602707,1.21696960926,24.849170684799997,23.449424743599998,15.299230575599996,1,
density_10_nback_1_id_10,10,10,1,d10_n1,1699705427.0,1699705499.65,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.4495353697999995,7.0997962950999955,2.19140791893,6.20690011978,0.97368490696,16.499275207500002,15.049739837700002,9.399478912400006,2,4.29833333492279
density_0_nback_2_id_10,10,0,2,d0_n2,1699705673.0,1699705757.9,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,2.2498950957999995,7.599954605100002,1.97269594669,9.96734905243,1.2272772789,22.951040268,20.7011451722,15.351085662899997,3,2.8891666650772097
density_10_nback_2_id_10,10,10,2,d10_n2,1699705934.0,1699706008.7,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.649837493899998,8.700189590499999,0.95071297884,8.77564716339,1.36535906792,17.699487686199998,16.0496501923,8.999298095699999,4,2.9349999984105426
density_0_nback_1_id_10,10,0,1,d0_n1,1699708217.0,1699708310.5,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,1.7006111144999991,9.3005943298,1.23777401447,1.24341487885,1.39625060558,29.199928283699997,27.499317169199998,19.899333953899998,5,36.80499999920527
density_20_nback_0_id_10,10,20,0,d20_n0,1699708441.0,1699708537.95,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.8004035950000059,7.149902343700006,0.77410197258,2.91318082809,0.714555084705,18.200195312500007,17.3997917175,11.050292968800001,6,2.175
density_0_nback_0_id_10,10,0,0,d0_n0,1699708675.0,1699708746.75,SINGLE,1,True,True,True,True,VALIDATED,BEFORE_HANDBACK,SINGLE,0.9004859924000002,5.299798965400001,2.1182949543,1.58674693108,0.204137384892,12.200677871700002,11.300191879300002,6.900878906300001,7,2.284166665871938
