participant_id,outcome,n,ols_slope_per_exposure,kendall_tau
1,t_button_s,7,-0.009554764318965759,0.04761904761904762
2,t_button_s,9,0.012520758321666355,0.16666666666666666
3,t_button_s,8,0.16554623557142886,0.3571428571428571
4,t_button_s,9,-0.00994844435999989,-0.05555555555555555
5,t_button_s,9,-0.05833730697333333,-0.3888888888888889
6,t_button_s,8,-0.12952686490827056,-0.21428571428571427
7,t_button_s,9,-0.15253445307833355,-0.4444444444444444
8,t_button_s,9,0.01072133381666679,-0.05555555555555555
9,t_button_s,8,-0.008686203355201629,0.14285714285714285
10,t_button_s,9,-0.04664945602833323,-0.05555555555555555
11,t_button_s,8,0.014480599408108065,0.21428571428571427
12,t_button_s,9,-0.0024456977883334985,-0.16666666666666666
13,t_button_s,8,0.15847210411891952,0.42857142857142855
14,t_button_s,6,-0.09777691250952378,-0.3333333333333333
15,t_button_s,7,-0.15193004303005345,-0.33333333333333337
16,t_button_s,9,0.011576239264999795,0.05555555555555555
17,t_button_s,9,-0.06906862258666671,-0.3888888888888889
18,t_button_s,9,0.0016614278199998727,0.1111111111111111
19,t_button_s,9,-0.17670240402000037,-0.7222222222222222
20,t_button_s,9,-0.010874780021666574,-0.05555555555555555
21,t_button_s,9,0.03089364370333315,0.1111111111111111
22,t_button_s,9,-0.008379586529999927,-0.16666666666666666
23,t_button_s,9,-0.22917222976500046,-0.3888888888888889
24,t_button_s,9,0.23583933512833366,0.1111111111111111
25,t_button_s,9,0.05581858952499962,0.16666666666666666
26,t_button_s,9,-0.07172215780166663,-0.6666666666666666
27,t_button_s,8,-0.035604148907006125,-0.07142857142857142
28,t_button_s,9,-0.1375029881833331,-0.5
29,t_button_s,9,0.06588354111500024,0.05555555555555555
30,t_button_s,9,0.02906386057666688,0.2222222222222222
31,t_button_s,7,0.014542327535057057,0.23809523809523814
32,t_button_s,9,-0.06582822800000018,-0.4444444444444444
33,t_button_s,9,0.004970232644999959,0.1111111111111111
34,t_button_s,9,-0.022496859231666593,-0.05555555555555555
35,t_button_s,8,-0.06549411636261304,-0.21428571428571427
36,t_button_s,7,-0.003803697351027329,0.04761904761904762
37,t_button_s,8,0.002929163403153082,0.14285714285714285
38,t_button_s,9,-0.13327805201166648,-0.2222222222222222
39,t_button_s,9,-0.06667305628166649,-0.4444444444444444
40,t_button_s,9,0.03582137425833359,-0.05555555555555555
41,t_button_s,9,-0.23336858748166714,-0.3888888888888889
42,t_button_s,8,-0.008928290856687575,0.14285714285714285
43,t_button_s,9,0.10575685500500023,0.16666666666666666
44,t_button_s,9,-0.01504408518166676,-0.2222222222222222
45,t_button_s,9,-0.16254727046166695,-0.5555555555555556
46,t_button_s,9,-0.0057847340883336006,-0.05555555555555555
47,t_button_s,9,-0.009943834936666377,0.0
