participant_id,outcome,n,ols_slope_per_exposure,kendall_tau
48,t_button_s,9,-0.0983320872033335,-0.2222222222222222
49,t_button_s,9,-0.11501884460833374,-0.4444444444444444
50,t_button_s,8,-0.11419572831166667,-0.3571428571428571
51,t_button_s,9,-0.053373082484999945,-0.16666666666666666
52,t_button_s,9,0.014940992990000304,0.05555555555555555
53,t_button_s,9,0.054097779591666985,0.2222222222222222
54,t_button_s,9,-0.023425261183332758,-0.2222222222222222
55,t_button_s,9,0.03495394389499964,-0.1111111111111111
56,t_button_s,9,-0.1666272163400002,-0.05555555555555555
57,t_button_s,9,-0.0808504422533339,-0.2777777777777778
1,tor_to_lane_change_s,7,0.5302121063758619,0.23809523809523814
2,tor_to_lane_change_s,9,0.03831125895999944,0.2222222222222222
3,tor_to_lane_change_s,8,-1.5565119470928572,-0.4999999999999999
4,tor_to_lane_change_s,9,0.013372389478333697,0.05555555555555555
5,tor_to_lane_change_s,9,0.15668198267333264,-0.05555555555555555
6,tor_to_lane_change_s,8,0.14602865252280742,0.14285714285714285
7,tor_to_lane_change_s,9,-0.02507352829666686,-0.05555555555555555
8,tor_to_lane_change_s,8,0.06062214713690512,0.14285714285714285
9,tor_to_lane_change_s,8,-1.3835484976416117,0.3571428571428571
10,tor_to_lane_change_s,9,0.23247124354333282,0.16666666666666666
11,tor_to_lane_change_s,8,0.08964139921081045,0.14285714285714285
12,tor_to_lane_change_s,9,-0.04329245885666668,0.1111111111111111
13,tor_to_lane_change_s,8,0.10648674149189265,0.14285714285714285
14,tor_to_lane_change_s,6,0.12846724191666703,0.3333333333333333
15,tor_to_lane_change_s,5,-0.2999880633047239,-0.6
16,tor_to_lane_change_s,9,-0.042552089700000184,-0.1111111111111111
17,tor_to_lane_change_s,9,0.10505199431999988,0.2777777777777778
18,tor_to_lane_change_s,9,-0.1724740346266669,-0.2777777777777778
19,tor_to_lane_change_s,9,-0.16586411794333364,-0.2777777777777778
20,tor_to_lane_change_s,8,0.37439902623095256,0.4999999999999999
21,tor_to_lane_change_s,9,-0.07672014236166683,-0.16666666666666666
22,tor_to_lane_change_s,8,-0.19047566821666548,-0.42857142857142855
23,tor_to_lane_change_s,9,-0.41744712194000133,-0.05555555555555555
24,tor_to_lane_change_s,8,-0.1507500765518792,-0.2857142857142857
25,tor_to_lane_change_s,8,-0.11077451705476234,-0.21428571428571427
26,tor_to_lane_change_s,9,-0.03251504898500003,-0.05555555555555555
27,tor_to_lane_change_s,8,0.05696212865966037,0.0
28,tor_to_lane_change_s,9,0.4824900627099998,0.6666666666666666
29,tor_to_lane_change_s,8,0.8598530399941446,0.6428571428571428
30,tor_to_lane_change_s,9,-0.25762297311833365,-0.2777777777777778
31,tor_to_lane_change_s,7,-0.2556877684310356,0.04761904761904762
32,tor_to_lane_change_s,9,-0.23748992284666687,-0.2222222222222222
33,tor_to_lane_change_s,9,0.054952239989999555,-0.1111111111111111
34,tor_to_lane_change_s,9,0.08409179052166633,0.2222222222222222
35,tor_to_lane_change_s,8,0.04864356754639618,0.14285714285714285
36,tor_to_lane_change_s,7,0.07874585503390356,0.23809523809523814
37,tor_to_lane_change_s,7,0.11860222112950829,0.14285714285714288
38,tor_to_lane_change_s,8,-1.0774766732954957,-0.5714285714285714
39,tor_to_lane_change_s,9,1.0682943344250007,-0.05555555555555555
40,tor_to_lane_change_s,9,-0.1233402252216671,0.1111111111111111
41,tor_to_lane_change_s,9,-1.1757741292300001,-0.05555555555555555
42,tor_to_lane_change_s,7,-0.35551133412694536,-0.5238095238095238
43,tor_to_lane_change_s,9,-0.04339310328333262,-0.05555555555555555
44,tor_to_lane_change_s,8,-0.05252796808000053,-0.2857142857142857
45,tor_to_lane_change_s,9,-0.5750298500083331,-0.3888888888888889
46,tor_to_lane_change_s,9,-0.07165371576166732,-0.05555555555555555
47,tor_to_lane_change_s,9,-0.6199943542466667,-0.5555555555555556
48,tor_to_lane_change_s,8,-0.4692836608591471,-0.21428571428571427
49,tor_to_lane_change_s,8,1.6527103003345867,0.3571428571428571
50,tor_to_lane_change_s,8,-0.4892621040383343,-0.21428571428571427
51,tor_to_lane_change_s,9,2.8791157086616663,0.4444444444444444
52,tor_to_lane_change_s,9,2.9391806602450017,0.05555555555555555
53,tor_to_lane_change_s,9,0.12080752055499959,0.2777777777777778
54,tor_to_lane_change_s,9,0.07665891647500092,0.0
55,tor_to_lane_change_s,9,2.2158262888583327,0.3333333333333333
56,tor_to_lane_change_s,8,-0.2671374270746867,-0.42857142857142855
57,tor_to_lane_change_s,9,0.4383210182249998,0.5555555555555556
