outcome,n_participants,median_late_minus_early,share_participants_late_lower,wilcoxon_p
t_button_s,57,-0.0997867584333344,0.631578947368421,0.00562450293468423
tor_to_lane_change_s,57,-0.06716187803333273,0.543859649122807,0.7058783105187265
min_ttc_s,57,0.11112578709999976,0.40350877192982454,0.2137112382739167
vehicle_max_decel_mps2,57,0.8829465707166673,0.45614035087719296,0.5121589732161957
vehicle_max_accel_mps2,57,0.032130430144666766,0.49122807017543857,0.6251034592708102
