outcome,cell_controls,n_trials,n_participants,exposure_slope_per_trial,se_cluster,ci95_low,ci95_high,p_value,conclusion
t_button_s,True,492,57,-0.03288214851294367,0.012740625821175477,-0.058404688941526985,-0.007359608084360349,0.012501779789843482,decrease with exposure (95% CI below 0)
t_button_s,False,492,57,-0.03224340057625739,0.01262581690240487,-0.057535951103872524,-0.006950850048642248,0.013405685534453348,decrease with exposure (95% CI below 0)
tor_to_lane_change_s,True,477,57,0.09160648682144994,0.10866482224828665,-0.126075309812684,0.3092882834555839,0.40280434970212764,no clear linear exposure association (95% CI includes 0)
tor_to_lane_change_s,False,477,57,0.09013744284146176,0.1175167024924598,-0.1452768007361649,0.3255516864190884,0.4462924749561388,no clear linear exposure association (95% CI includes 0)
