outcome,exposure,n,median,q1,q3,participant_centred_median
t_button_s,1,57,1.7001342773000019,1.3504676818999997,2.100381851199998,0.049669265699996856
t_button_s,2,56,1.8247385024499998,1.4002599716499988,2.1623988151250018,0.05002117159999919
t_button_s,3,56,1.7256975174000004,1.350372314474999,2.2494330405999996,0.07483768465000118
t_button_s,4,53,1.6998786925999951,1.349647522000005,1.9996089935000008,0.09989166250000636
t_button_s,5,54,1.7000436782999984,1.1748046875250049,2.0250339508499984,-3.719329999718468e-05
t_button_s,6,54,1.47480773925,1.150345802324999,1.7504220008500022,-0.12458801265000119
t_button_s,7,53,1.449985504099999,1.0497989654000008,1.799581527800001,0.0
t_button_s,8,54,1.6001758575,1.1872720717750003,2.0874776840999996,0.0
t_button_s,9,55,1.5500888823999972,1.1748065948500006,1.87465667725,-0.09901237489999914
tor_to_lane_change_s,1,55,6.849884033199999,5.175101280200002,8.62495040895,0.12480735785000086
tor_to_lane_change_s,2,54,6.174975395200001,5.499965667699999,7.625216960874998,-0.17555713649999838
tor_to_lane_change_s,3,55,6.299970626900002,5.474939346299998,7.5250711441,0.0
tor_to_lane_change_s,4,53,6.599918365499995,5.499835968100001,7.950117111200001,0.0
tor_to_lane_change_s,5,52,6.6501512527500015,5.362509727499997,7.762417316474999,-0.11237144472500216
tor_to_lane_change_s,6,54,6.449754714949998,5.762257575949998,7.975001335174999,0.012574672699998679
tor_to_lane_change_s,7,51,6.150085449199999,5.199950218199998,7.550620079050002,-0.04934883120000322
tor_to_lane_change_s,8,51,6.600376129199997,5.525037765499999,7.474650382949999,0.0
tor_to_lane_change_s,9,52,6.2243900299,5.337398052225,7.287325859049998,0.0
min_ttc_s,1,55,2.49460911751,1.341492056845,3.273636460305,-0.05780196190000009
min_ttc_s,2,54,2.1801104545600003,1.6387847363949999,3.27461451292,0.0
min_ttc_s,3,55,2.37672805786,1.845622003075,3.123512506485,0.0009689330999997914
min_ttc_s,4,53,2.37813711166,1.59111201763,3.07851099968,0.07683253288000014
min_ttc_s,5,52,2.224776506425,1.5052492320525,2.85068273544,-0.07062900066499989
min_ttc_s,6,54,2.21643149853,1.6839537322525,3.3215704560275,0.0
min_ttc_s,7,52,2.496614456175,1.70893877745,3.05677253008,0.0
min_ttc_s,8,51,2.5082359314,1.664810478685,3.2400124073,0.0
min_ttc_s,9,52,2.73684644699,1.6567389667049999,3.5682888030975,0.0
vehicle_max_decel_mps2,1,55,2.78734636307,1.29598116875,7.31159234047,-0.017574787140000048
vehicle_max_decel_mps2,2,54,3.1469393968599997,1.2724064588525,6.88161289692,-0.43775153160000013
vehicle_max_decel_mps2,3,55,3.45843529701,1.4513053894049999,7.50830245018,0.0
vehicle_max_decel_mps2,4,53,5.05309009552,1.84223914146,7.76707839966,0.5320382118199998
vehicle_max_decel_mps2,5,52,3.289454460145,1.3914433717774999,7.577951073647499,0.0
vehicle_max_decel_mps2,6,54,4.445618152614999,1.8084608018375001,8.64544284344,0.0
vehicle_max_decel_mps2,7,52,3.192217111585,1.4855051934699999,6.722106337545,-0.04357969760999991
vehicle_max_decel_mps2,8,51,4.94060087204,1.70094078779,9.037352085110001,0.10896563530000014
vehicle_max_decel_mps2,9,52,4.229258537290001,1.7250729799225,8.340648889539999,0.08794903755000005
vehicle_max_accel_mps2,1,55,0.829348564148,0.1529994644225,2.7149386405950002,0.0
vehicle_max_accel_mps2,2,54,0.235250763595,0.0471996963024,1.7377906143675,-0.18756726733428503
vehicle_max_accel_mps2,3,55,0.817001998425,0.16619202494649998,1.875007271765,0.0
vehicle_max_accel_mps2,4,53,0.618347346783,0.157541036606,1.84485006332,0.02779312431799999
vehicle_max_accel_mps2,5,52,1.021163105965,0.2225844822825,2.794736385345,0.022721968590999994
vehicle_max_accel_mps2,6,54,1.12094694376,0.22599081322575,2.4081711769075,0.21664834395124996
vehicle_max_accel_mps2,7,52,0.7032427191735,0.14924938231725,2.2695639133474996,-0.07336199656099995
vehicle_max_accel_mps2,8,51,0.824625134468,0.1545376107095,1.8525533676150001,-0.009261995554000008
vehicle_max_accel_mps2,9,52,0.6357187926765,0.175666183233,2.2821543812750003,0.0
