speed_kmh,mu,branch,a_eff_low,a_eff_high,friction_binding,t_required_min_s,t_required_mid_s,t_required_max_s,width_s,optimistic_corner,conservative_corner,bound_method,t_required_min_if_t1_high_4s,t_required_max_if_t1_high_4s,t1_high_4s_bound_method
100,1.0,P0|AUTH_UNCERTAIN,6.43,9.1,False,2.884,4.3615,5.9881,3.1041,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.4002, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""f_auth"": 1.0}",monotone_endpoint_bound,2.884,6.9881,monotone_endpoint_bound
100,1.0,P1,6.43,9.1,False,2.884,4.2973,5.8342,2.9501,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.4002}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218}",monotone_endpoint_bound,2.884,6.7677,monotone_endpoint_bound
100,1.0,P2|AUTH_AT_EFFECTIVE,6.43,9.1,False,2.4952,3.6921,5.3016,2.8064,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.218, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 1.0}",monotone_endpoint_bound,2.4952,6.012,monotone_endpoint_bound
100,1.0,P2|AUTH_UNCERTAIN,6.43,9.1,False,2.4952,3.9548,5.8342,3.339,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.218, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,2.4952,6.7677,monotone_endpoint_bound
100,0.5,P0|AUTH_AT_EFFECTIVE,4.905,4.905,True,4.2529,5.4594,6.663,2.4101,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.218}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218}",monotone_endpoint_bound,4.2529,7.663,monotone_endpoint_bound
100,0.5,P0|AUTH_UNCERTAIN,4.905,4.905,True,4.147,5.3828,6.663,2.516,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.4002, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""f_auth"": 1.0}",monotone_endpoint_bound,4.147,7.663,monotone_endpoint_bound
100,0.5,P1,4.905,4.905,True,4.147,5.295,6.4778,2.3308,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.4002}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218}",monotone_endpoint_bound,4.147,7.401,monotone_endpoint_bound
100,0.5,P2|AUTH_AT_EFFECTIVE,4.905,4.905,True,3.497,4.4491,5.8392,2.3423,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 1.0}",monotone_endpoint_bound,3.497,6.5073,monotone_endpoint_bound
100,0.5,P2|AUTH_UNCERTAIN,4.905,4.905,True,3.497,4.828,6.4778,2.9808,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.218, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,3.497,7.401,monotone_endpoint_bound
130,1.0,P0|AUTH_AT_EFFECTIVE,6.43,9.1,False,3.3886,4.9356,6.6227,3.2342,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.3098}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098}",monotone_endpoint_bound,3.3886,7.6227,monotone_endpoint_bound
130,1.0,P0|AUTH_UNCERTAIN,6.43,9.1,False,3.3002,4.8629,6.6227,3.3225,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.5897, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""f_auth"": 1.0}",monotone_endpoint_bound,3.3002,7.6227,monotone_endpoint_bound
130,1.0,P1,6.43,9.1,False,3.3002,4.7776,6.4216,3.1214,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.5897}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098}",monotone_endpoint_bound,3.3002,7.3382,monotone_endpoint_bound
130,1.0,P2|AUTH_AT_EFFECTIVE,6.43,9.1,False,2.9535,4.2569,5.987,3.0334,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.3098, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 1.0}",monotone_endpoint_bound,2.9535,6.7283,monotone_endpoint_bound
130,1.0,P2|AUTH_UNCERTAIN,6.43,9.1,False,2.9535,4.4895,6.4216,3.4681,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.3098, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,2.9535,7.3382,monotone_endpoint_bound
130,0.5,P0|AUTH_AT_EFFECTIVE,4.905,4.905,True,5.0859,6.2933,7.4983,2.4124,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.3098}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098}",monotone_endpoint_bound,5.0859,8.4983,monotone_endpoint_bound
130,0.5,P0|AUTH_UNCERTAIN,4.905,4.905,True,4.9344,6.1858,7.4983,2.5639,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.5897, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""f_auth"": 1.0}",monotone_endpoint_bound,4.9344,8.4983,monotone_endpoint_bound
130,0.5,P1,4.905,4.905,True,4.9344,6.0661,7.2528,2.3184,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.5897}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098}",monotone_endpoint_bound,4.9344,8.1549,monotone_endpoint_bound
130,0.5,P2|AUTH_AT_EFFECTIVE,4.905,4.905,True,4.3421,5.3208,6.7235,2.3814,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 1.0}",monotone_endpoint_bound,4.3421,7.4211,monotone_endpoint_bound
130,0.5,P2|AUTH_UNCERTAIN,4.905,4.905,True,4.3421,5.6631,7.2528,2.9107,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.3098, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,4.3421,8.1549,monotone_endpoint_bound
