scenario_id,v0_kmh,ttc_s,hazard_distance_m,mu,branch,policy,authority_assumption,t1_s,t2_s,t3_s,a_pre_profile,a_drag_mps2,a_sup_mps2,a_max_capability_mps2,a_effective_mps2,t_required_min_s,t_required_max_s,recoverability_margin_best_s,recoverability_margin_worst_s,distance_margin_best_m,distance_margin_worst_m,classification,boundary_flag,classification_if_t1_high_4s,t1_high_4s_bound_method
v60_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc2.0,60,2.0,33.33,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3837,5.1629,-0.3837,-3.1629,-6.4,-52.71,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc3.0,60,3.0,50.0,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3837,5.1629,0.6163,-2.1629,10.27,-36.05,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc5.0,60,5.0,83.33,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3837,5.1629,2.6163,-0.1629,43.6,-2.71,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc7.0,60,7.0,116.67,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3837,5.1629,4.6163,1.8371,76.94,30.62,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc10.0,60,10.0,166.67,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3837,5.1629,7.6163,4.8371,126.94,80.62,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_UNCERTAIN_ttc2.0,60,2.0,33.33,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.1629,-0.3432,-3.1629,-5.72,-52.71,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_UNCERTAIN_ttc3.0,60,3.0,50.0,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.1629,0.6568,-2.1629,10.95,-36.05,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_UNCERTAIN_ttc5.0,60,5.0,83.33,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.1629,2.6568,-0.1629,44.28,-2.71,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_UNCERTAIN_ttc7.0,60,7.0,116.67,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.1629,4.6568,1.8371,77.61,30.62,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v60_mu1.0_P0|AUTH_UNCERTAIN_ttc10.0,60,10.0,166.67,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.1264, 0.2267]",,"[6.43, 9.1]","[6.43, 9.1]",2.3432,5.1629,7.6568,4.8371,127.61,80.62,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
