speed_kmh,mu,branch,domain,points_per_dim,min_abs_dT_dt1,min_abs_dT_dt2,min_abs_dT_dt3,min_abs_dT_da_max,min_abs_dT_da_drag,min_abs_dT_df_auth,min_abs_dT_da_sup
60,1.0,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.4454,0.10086,0.0,,
60,1.0,P0|AUTH_UNCERTAIN,main,9,0.9149,0.95919,0.425,0.09281,0.01811,0.01772,
60,1.0,P1,main,15,0.9149,0.95919,0.425,0.09281,0.17787,,
60,1.0,P2|AUTH_AT_EFFECTIVE,main,9,0.10678,0.46,0.1754,0.02152,0.0,,0.15369
60,1.0,P2|AUTH_UNCERTAIN,main,7,0.10678,0.46,0.1754,0.02152,0.02078,0.10165,0.03448
60,0.5,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.47057,0.0,0.0,,
60,0.5,P0|AUTH_UNCERTAIN,main,9,0.90439,0.95919,0.45017,0.0,0.03159,0.03138,
60,0.5,P1,main,15,0.90439,0.95919,0.45017,0.0,0.28426,,
60,0.5,P2|AUTH_AT_EFFECTIVE,main,9,0.04005,0.46,0.20057,0.0,0.0,,0.2394
60,0.5,P2|AUTH_UNCERTAIN,main,7,0.04005,0.46,0.20057,0.0,0.03564,0.17947,0.05164
100,1.0,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.46724,0.16785,0.0,,
100,1.0,P0|AUTH_UNCERTAIN,main,9,0.88614,0.95678,0.44563,0.15367,0.01717,0.02935,
100,1.0,P1,main,15,0.88614,0.95678,0.44563,0.15367,0.15636,,
100,1.0,P2|AUTH_AT_EFFECTIVE,main,9,0.27744,0.676,0.30524,0.07678,0.0,,0.14276
100,1.0,P2|AUTH_UNCERTAIN,main,7,0.27744,0.676,0.30524,0.07678,0.02087,0.07763,0.02899
100,0.5,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.48234,0.0,0.0,,
100,0.5,P0|AUTH_UNCERTAIN,main,9,0.86762,0.95678,0.46073,0.0,0.03065,0.05292,
100,0.5,P1,main,15,0.86762,0.95678,0.46073,0.0,0.26266,,
100,0.5,P2|AUTH_AT_EFFECTIVE,main,9,0.17938,0.676,0.32034,0.0,0.0,,0.23742
100,0.5,P2|AUTH_UNCERTAIN,main,7,0.17938,0.676,0.32034,0.0,0.03696,0.13977,0.04638
130,1.0,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.4748,0.21814,0.0,,
130,1.0,P0|AUTH_UNCERTAIN,main,9,0.85122,0.95101,0.4503,0.1973,0.01684,0.04112,
130,1.0,P1,main,15,0.85122,0.95101,0.4503,0.1973,0.14868,,
130,1.0,P2|AUTH_AT_EFFECTIVE,main,9,0.33652,0.75077,0.35018,0.123,0.0,,0.13898
130,1.0,P2|AUTH_UNCERTAIN,main,7,0.33652,0.75077,0.35018,0.123,0.02089,0.05281,0.02705
130,0.5,P0|AUTH_AT_EFFECTIVE,main,15,1.0,1.0,0.48642,0.0,0.0,,
130,0.5,P0|AUTH_UNCERTAIN,main,9,0.8241,0.95101,0.46192,0.0,0.03032,0.07461,
130,0.5,P1,main,15,0.8241,0.95101,0.46192,0.0,0.25473,,
130,0.5,P2|AUTH_AT_EFFECTIVE,main,9,0.22761,0.75077,0.3618,0.0,0.0,,0.23674
130,0.5,P2|AUTH_UNCERTAIN,main,7,0.22761,0.75077,0.3618,0.0,0.03741,0.09575,0.0445
