prev_cell,d0_n0,d0_n1,d0_n2,d10_n0,d10_n1,d10_n2,d20_n0,d20_n1,d20_n2
d0_n0,0,5,7,5,5,7,6,8,7
d0_n1,7,0,5,6,7,6,6,6,6
d0_n2,5,8,0,6,6,7,7,3,7
d10_n0,7,7,5,0,7,7,4,7,5
d10_n1,6,5,6,6,0,6,5,2,7
d10_n2,5,6,6,6,7,0,5,6,7
d20_n0,6,6,5,6,5,7,0,8,5
d20_n1,6,6,7,5,8,6,5,0,6
d20_n2,7,7,5,7,6,6,6,6,0
