population,model,n_trials,n_participants,exposure_slope_per_trial,se_cluster,ci95_low,ci95_high,conclusion,wald_df,wald_F,wald_p,ri_exposure_slope_per_trial,ri_ci95_low,ri_ci95_high,ri_participant_var,ri_residual_var,slope_change_vs_reference_pct
primary: protocol-resolved TOR,M0_reference,435,57,-0.02560733207255192,0.015486121675394886,-0.05662976158973558,0.005415097444631742,no clear linear exposure association (95% CI includes 0),0,,,-0.025791742295495856,-0.05113522249419107,-0.0004482620968006383,0.09458788098992305,0.38292599287131734,0.0
primary: protocol-resolved TOR,M1_compact_prev_density_prev_nback,435,57,-0.026637833361848738,0.015108667850833608,-0.056904132008186385,0.003628465284488909,no clear linear exposure association (95% CI includes 0),4,0.7547750378707736,0.5591068839901776,-0.02670362491843735,-0.05210135448279415,-0.001305895354080551,0.09566107795879505,0.38239067667453014,-4.024243081540682
primary: protocol-resolved TOR,M2_full_prev_cell,435,57,-0.026449945315951587,0.014905617647316051,-0.056309485526632515,0.003409594894729341,no clear linear exposure association (95% CI includes 0),8,0.6037249340860382,0.7707710592125777,-0.026523755794372002,-0.05195655744215446,-0.0010909541465895442,0.09606412936850549,0.38238966103451816,-3.2905155484856263
sensitivity: exclude all multi-TOR trials,M0_reference,416,57,-0.027881257773855604,0.01610159499310243,-0.06013662850243541,0.004374112954724202,no clear linear exposure association (95% CI includes 0),0,,,-0.027560246653834636,-0.053944954815159374,-0.0011755384925098977,0.09541454241561945,0.39343182278619654,0.0
sensitivity: exclude all multi-TOR trials,M1_compact_prev_density_prev_nback,416,57,-0.028585943891564162,0.01584141203555213,-0.06032010552522894,0.0031482177421006154,no clear linear exposure association (95% CI includes 0),4,0.7965770744510473,0.5324648630221701,-0.028154282637429993,-0.054581397371870545,-0.0017271679029894418,0.09685751023051714,0.39259066796818887,-2.527454548228256
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,416,57,-0.02855214116840134,0.015913062237476197,-0.06042983540407408,0.003325553067271402,no clear linear exposure association (95% CI includes 0),8,0.6456357502569811,0.7360474575725529,-0.028157011619956887,-0.05458720163141759,-0.001726821608496184,0.0971911131605918,0.3923862619292603,-2.406216390907686
