family,outcome,covariate,construct,n_participants,spearman_rho,rho_ci95_low,rho_ci95_high,p_value,ols_slope_per_sd,ols_ci95_low,ols_ci95_high,p_holm,holm_significant_0_05,population
primary,median_t_button_s,accu_years,driving experience,57,-0.0955201929096872,-0.355037352754857,0.16332768571331124,0.47968876845375386,-0.049060439164336556,-0.15265055450473342,0.05452967617606029,1.0,False,primary: protocol-resolved TOR
primary,median_t_button_s,accu_km,annual mileage,57,-0.1787744761513465,-0.4355755577464513,0.08476268064205096,0.18333283003379727,-0.039325785909677516,-0.15415947142202557,0.07550789960267053,1.0,False,primary: protocol-resolved TOR
primary,median_t_button_s,driving_frequency,driving frequency,57,-0.1133078594507734,-0.36305148033131196,0.14601162064527934,0.4013510722099674,-0.03088921613272154,-0.13054265766288686,0.06876422539744377,1.0,False,primary: protocol-resolved TOR
primary,median_t_button_s,assist_frequency,ADAS-use frequency,57,-0.27684361062337,-0.49259071536878546,-0.047286993466138585,0.0370915051314212,-0.07695876257227913,-0.15867572234156332,0.004758197197005071,0.2967320410513696,False,primary: protocol-resolved TOR
primary,slope_t_button_s_per_exposure,accu_years,driving experience,57,0.1467987685030868,-0.12112511740127285,0.4071265195344683,0.2758591389162868,0.02062311632792606,-0.005156278205030677,0.046402510860882804,1.0,False,primary: protocol-resolved TOR
primary,slope_t_button_s_per_exposure,accu_km,annual mileage,57,0.1341296315249735,-0.12637830293815602,0.38002775847544307,0.319869782808802,0.009238868773637976,-0.013951534163524652,0.0324292717108006,1.0,False,primary: protocol-resolved TOR
primary,slope_t_button_s_per_exposure,driving_frequency,driving frequency,57,0.25572501651073565,-0.028236501354430794,0.4841094473668211,0.05486224236295114,0.01944329201837454,-0.0031284861971021746,0.04201507023385125,0.384035696540658,False,primary: protocol-resolved TOR
primary,slope_t_button_s_per_exposure,assist_frequency,ADAS-use frequency,57,-0.16627425599795845,-0.4215471105310698,0.10304691356765186,0.21639985687771576,-0.01646788080874906,-0.04091898355236673,0.007983221934868605,1.0,False,primary: protocol-resolved TOR
secondary,mean_t_button_s,accu_years,driving experience,57,-0.13933828958892638,-0.38831702025078746,0.12121316752880373,0.30126326670724113,-0.04078150521716087,-0.1401404134206955,0.05857740298637376,1.0,False,primary: protocol-resolved TOR
secondary,mean_t_button_s,accu_km,annual mileage,57,-0.05924465179115194,-0.3089615240000079,0.20732095506983927,0.6615583035075735,0.00268151453412184,-0.09453535652980331,0.099898385598047,1.0,False,primary: protocol-resolved TOR
secondary,mean_t_button_s,driving_frequency,driving frequency,57,-0.062260647741938194,-0.3156013066389089,0.1917284928926577,0.645451296300968,-0.009706558402685694,-0.099255239263571,0.0798421224581996,1.0,False,primary: protocol-resolved TOR
secondary,mean_t_button_s,assist_frequency,ADAS-use frequency,57,-0.19152131751321658,-0.4337149410509375,0.05921755427278205,0.15353111733274236,-0.05621841949739993,-0.1368830833374859,0.024446244342686024,1.0,False,primary: protocol-resolved TOR
secondary,cell_adjusted_slope_t_button_s_per_exposure,accu_years,driving experience,57,0.18309122924708118,-0.08707079195825586,0.44064852834958523,0.1728070831543558,0.018632339940579966,-0.005518523567933441,0.04278320344909337,1.0,False,primary: protocol-resolved TOR
secondary,cell_adjusted_slope_t_button_s_per_exposure,accu_km,annual mileage,57,0.16410963643794943,-0.10582759204707057,0.40396905380039444,0.22252490893044907,0.01099612137679459,-0.00963049088242851,0.03162273363601769,1.0,False,primary: protocol-resolved TOR
secondary,cell_adjusted_slope_t_button_s_per_exposure,driving_frequency,driving frequency,57,0.28718131235941124,0.006671954663981011,0.5156836707308434,0.030312076134814896,0.02039736201983404,-0.0012711545446265557,0.042065878584294635,0.24249660907851917,False,primary: protocol-resolved TOR
secondary,cell_adjusted_slope_t_button_s_per_exposure,assist_frequency,ADAS-use frequency,57,-0.15474330779591644,-0.421969177904125,0.12290557795771957,0.25041479355033763,-0.014139646903384864,-0.03833019184551928,0.01005089803874955,1.0,False,primary: protocol-resolved TOR
primary,median_t_button_s,accu_years,driving experience,57,-0.08173948295034283,-0.33882056347987904,0.18377666347285082,0.5455376102267082,-0.041718737344876466,-0.15008826500214661,0.06665079031239367,1.0,False,sensitivity: exclude all multi-TOR trials
primary,median_t_button_s,accu_km,annual mileage,57,-0.14180347226191747,-0.40592066486011685,0.12906692260931216,0.2927066152910598,-0.027757358780507585,-0.14296716146361468,0.08745244390259951,1.0,False,sensitivity: exclude all multi-TOR trials
