family,outcome,covariate,construct,n_participants,spearman_rho,rho_ci95_low,rho_ci95_high,p_value,ols_slope_per_sd,ols_ci95_low,ols_ci95_high,p_holm,holm_significant_0_05,population
primary,median_t_button_s,driving_frequency,driving frequency,57,-0.09766120452086223,-0.3544186489108731,0.16163156734936981,0.4698512462270959,-0.030878324900249485,-0.12794138600469918,0.06618473620420019,1.0,False,sensitivity: exclude all multi-TOR trials
primary,median_t_button_s,assist_frequency,ADAS-use frequency,57,-0.25173102080726095,-0.46979779215204465,-0.02027422965318751,0.058896452107051744,-0.0656847179907053,-0.15169783346625632,0.02032839748484573,0.47117161685641396,False,sensitivity: exclude all multi-TOR trials
primary,slope_t_button_s_per_exposure,accu_years,driving experience,57,0.15465018954375348,-0.10533004561009213,0.41682100973234765,0.25070347245579766,0.022066576229541446,-0.004455571402469431,0.04858872386155232,1.0,False,sensitivity: exclude all multi-TOR trials
primary,slope_t_button_s_per_exposure,accu_km,annual mileage,57,0.10154832466727086,-0.16133297937705265,0.34121440912133727,0.4522712819635941,0.007749839927279088,-0.01426133691492511,0.029761016769483287,1.0,False,sensitivity: exclude all multi-TOR trials
primary,slope_t_button_s_per_exposure,driving_frequency,driving frequency,57,0.23584072587064023,-0.04229650763827402,0.4685973057183794,0.07737622953216416,0.01858831699821576,-0.003851394380931527,0.04102802837736305,0.5416336067251492,False,sensitivity: exclude all multi-TOR trials
primary,slope_t_button_s_per_exposure,assist_frequency,ADAS-use frequency,57,-0.18315045424118026,-0.4360785677560532,0.09054307636447878,0.1726657949604664,-0.01710511416897332,-0.043027517757782414,0.008817289419835776,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,mean_t_button_s,accu_years,driving experience,57,-0.12099658815367609,-0.3801577804246765,0.146258485086157,0.36995053247045084,-0.03334075141857909,-0.13842518024210262,0.07174367740494444,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,mean_t_button_s,accu_km,annual mileage,57,-0.04269386816782793,-0.29811658906503785,0.2220016995636486,0.7525078244204124,0.010942945694941902,-0.08987293099517282,0.11175882238505663,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,mean_t_button_s,driving_frequency,driving frequency,57,-0.05463290346360651,-0.3075351302612,0.204763451969711,0.6864826363548108,-0.008567675347645062,-0.10001795998936581,0.08288260929407569,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,mean_t_button_s,assist_frequency,ADAS-use frequency,57,-0.17417446832297265,-0.41137736412648224,0.07958625091335665,0.19504933617211279,-0.052763832914969874,-0.13684431258616292,0.03131664675622317,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,cell_adjusted_slope_t_button_s_per_exposure,accu_years,driving experience,57,0.19231094773051963,-0.06988617352628602,0.44209375661412265,0.15181052348789809,0.02007236816359124,-0.0046739393259661,0.04481867565314858,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,cell_adjusted_slope_t_button_s_per_exposure,accu_km,annual mileage,57,0.13276394800399194,-0.14351686215803947,0.37285394089468127,0.3248666895680915,0.009793145065334964,-0.009978606711471124,0.02956489684214105,1.0,False,sensitivity: exclude all multi-TOR trials
secondary,cell_adjusted_slope_t_button_s_per_exposure,driving_frequency,driving frequency,57,0.2761960567107028,0.0012022516103097956,0.5192457401520953,0.03755491043207855,0.02014394772034922,-0.0014161724648995948,0.04170406790559804,0.3004392834566284,False,sensitivity: exclude all multi-TOR trials
secondary,cell_adjusted_slope_t_button_s_per_exposure,assist_frequency,ADAS-use frequency,57,-0.177300935328191,-0.43909092538497185,0.10773443449004068,0.1870294505067281,-0.015457956595017142,-0.041131636225442664,0.01021572303540838,1.0,False,sensitivity: exclude all multi-TOR trials
